assignment_id,class_id,title,due_date,points_possible,category,term_id
1,1,Homework 1,2015-08-27,25,Homework,4
2,1,Homework 2,2015-08-24,21,Homework,4
3,1,Quiz 3,2015-09-08,42,Quiz,4
4,1,Quiz 4,2015-09-02,36,Quiz,4
5,1,Project 5,2015-09-16,72,Project,4
6,1,Quiz 6,2015-09-17,31,Quiz,4
7,1,Homework 7,2015-09-28,17,Homework,4
8,1,Homework 8,2015-09-25,13,Homework,4
9,1,Quiz 9,2015-10-02,38,Quiz,4
10,1,Homework 10,2015-10-05,17,Homework,4
11,1,Homework 11,2015-10-20,19,Homework,4
12,1,Project 12,2015-10-20,71,Project,4
13,1,Homework 13,2015-10-29,12,Homework,4
14,1,Test 14,2015-10-27,78,Test,4
15,1,Homework 15,2015-11-04,17,Homework,4
16,1,Homework 16,2015-11-05,22,Homework,4
17,1,Quiz 17,2015-11-17,34,Quiz,4
18,1,Homework 18,2015-11-17,18,Homework,4
19,1,Homework 19,2015-11-25,20,Homework,4
20,1,Homework 20,2015-11-25,15,Homework,4
21,2,Homework 1,2015-08-24,23,Homework,2
22,2,Homework 2,2015-08-26,17,Homework,2
23,2,Homework 3,2015-09-04,25,Homework,2
24,2,Test 4,2015-09-03,93,Test,2
25,2,Homework 5,2015-09-18,22,Homework,2
26,2,Project 6,2015-09-16,74,Project,2
27,2,Test 7,2015-09-23,78,Test,2
28,2,Homework 8,2015-09-23,17,Homework,2
29,2,Test 9,2015-10-05,88,Test,2
30,2,Quiz 10,2015-10-07,36,Quiz,2
31,2,Homework 11,2015-10-20,23,Homework,2
32,2,Homework 12,2015-10-20,18,Homework,2
33,2,Homework 13,2015-10-23,23,Homework,2
34,2,Quiz 14,2015-10-27,30,Quiz,2
35,2,Homework 15,2015-11-04,10,Homework,2
36,2,Project 16,2015-11-04,94,Project,2
37,2,Homework 17,2015-11-17,22,Homework,2
38,2,Test 18,2015-11-13,98,Test,2
39,2,Homework 19,2015-11-24,13,Homework,2
40,2,Test 20,2015-12-02,96,Test,2
41,3,Homework 1,2015-08-24,23,Homework,2
42,3,Homework 2,2015-08-27,15,Homework,2
43,3,Project 3,2015-09-03,79,Project,2
44,3,Quiz 4,2015-09-04,48,Quiz,2
45,3,Homework 5,2015-09-15,18,Homework,2
46,3,Test 6,2015-09-14,79,Test,2
47,3,Project 7,2015-09-29,73,Project,2
