class_id,name,grade_level_id,teacher_id,classroom_id,period_id,term_id,school_year_id,created_at,updated_at
1,Homeroom Grade 0,0,1,4,11,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
2,Homeroom Grade 0,0,1,4,11,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
3,Homeroom Grade 0,0,1,4,11,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
4,Homeroom Grade 0,0,1,4,11,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
5,Math Grade 0,0,1,4,22,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
6,Math Grade 0,0,1,4,22,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
7,Math Grade 0,0,1,4,22,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
8,Math Grade 0,0,1,4,22,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
9,Reading Grade 0,0,1,4,33,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
10,Reading Grade 0,0,1,4,33,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
11,Reading Grade 0,0,1,4,33,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
12,Reading Grade 0,0,1,4,33,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
13,Science Grade 0,0,1,4,44,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
14,Science Grade 0,0,1,4,44,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
15,Science Grade 0,0,1,4,44,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
16,Science Grade 0,0,1,4,44,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
17,Social Studies Grade 0,0,1,4,55,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
18,Social Studies Grade 0,0,1,4,55,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
19,Social Studies Grade 0,0,1,4,55,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
20,Social Studies Grade 0,0,1,4,55,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
21,Recess Grade 0,0,1,4,30,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
22,Recess Grade 0,0,1,4,30,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
23,Recess Grade 0,0,1,4,30,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
24,Recess Grade 0,0,1,4,30,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
25,Nap Grade 0,0,1,4,40,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
26,Nap Grade 0,0,1,4,40,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
27,Nap Grade 0,0,1,4,40,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
28,Nap Grade 0,0,1,4,40,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
29,Homeroom Grade 1,1,4,2,11,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
30,Homeroom Grade 1,1,4,2,11,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
31,Homeroom Grade 1,1,4,2,11,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
32,Homeroom Grade 1,1,4,2,11,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
33,Math Grade 1,1,4,2,22,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
34,Math Grade 1,1,4,2,22,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
35,Math Grade 1,1,4,2,22,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
36,Math Grade 1,1,4,2,22,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
37,Reading Grade 1,1,4,2,33,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
38,Reading Grade 1,1,4,2,33,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
39,Reading Grade 1,1,4,2,33,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
40,Reading Grade 1,1,4,2,33,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
41,Science Grade 1,1,4,2,44,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
42,Science Grade 1,1,4,2,44,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
43,Science Grade 1,1,4,2,44,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
44,Science Grade 1,1,4,2,44,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
45,Social Studies Grade 1,1,4,2,55,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
46,Social Studies Grade 1,1,4,2,55,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
47,Social Studies Grade 1,1,4,2,55,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
48,Social Studies Grade 1,1,4,2,55,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
49,Recess Grade 1,1,4,2,30,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
50,Recess Grade 1,1,4,2,30,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
51,Recess Grade 1,1,4,2,30,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
52,Recess Grade 1,1,4,2,30,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
53,Nap Grade 1,1,4,2,40,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
54,Nap Grade 1,1,4,2,40,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
55,Nap Grade 1,1,4,2,40,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
56,Nap Grade 1,1,4,2,40,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
57,Homeroom Grade 2,2,6,5,11,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
58,Homeroom Grade 2,2,6,5,11,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
59,Homeroom Grade 2,2,6,5,11,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
60,Homeroom Grade 2,2,6,5,11,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
61,Math Grade 2,2,6,5,22,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
62,Math Grade 2,2,6,5,22,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
63,Math Grade 2,2,6,5,22,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
64,Math Grade 2,2,6,5,22,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
65,Reading Grade 2,2,6,5,33,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
66,Reading Grade 2,2,6,5,33,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
