discipline_report_id,student_id,date,severity,type,action_taken
DR0001,27,2024-11-25,Minor,Dress Code,Suspension
DR0002,59,2023-10-12,Major,Disruption,Detention
DR0003,230,2023-08-06,Moderate,Disruption,Detention
DR0004,258,2025-02-12,Minor,Disruption,Suspension
DR0005,402,2024-02-16,Major,Cheating,Detention
DR0006,330,2024-01-24,Minor,Disruption,Detention
DR0007,434,2024-01-07,Moderate,Dress Code,Suspension
DR0008,56,2023-11-03,Moderate,Dress Code,Warning
DR0009,461,2025-02-09,Minor,Cheating,Suspension
DR0010,76,2023-10-05,Minor,Fighting,Detention
DR0011,320,2024-12-24,Major,Cheating,Detention
DR0012,306,2025-02-12,Major,Cheating,Detention
DR0013,259,2025-06-09,Major,Dress Code,Warning
DR0014,407,2024-09-13,Major,Disruption,Suspension
DR0015,334,2023-09-23,Major,Fighting,Detention
DR0016,232,2024-10-18,Minor,Dress Code,Detention
DR0017,424,2024-06-09,Moderate,Dress Code,Detention
DR0018,374,2023-08-11,Minor,Cheating,Detention
DR0019,161,2023-08-10,Major,Cheating,Detention
DR0020,489,2023-09-28,Minor,Dress Code,Warning
DR0021,47,2024-01-03,Minor,Disruption,Detention
DR0022,50,2024-01-14,Major,Cheating,Warning
DR0023,285,2024-08-13,Minor,Cheating,Suspension
DR0024,63,2024-10-27,Moderate,Cheating,Suspension
DR0025,482,2023-08-07,Moderate,Disruption,Detention
DR0026,308,2024-09-25,Moderate,Cheating,Warning
DR0027,296,2023-12-19,Major,Fighting,Warning
DR0028,337,2025-01-24,Moderate,Fighting,Warning
DR0029,180,2024-12-03,Major,Cheating,Warning
DR0030,391,2025-01-12,Moderate,Fighting,Detention
DR0031,433,2024-09-13,Major,Disruption,Suspension
DR0032,476,2024-06-07,Major,Cheating,Warning
DR0033,93,2024-01-05,Moderate,Cheating,Detention
DR0034,180,2024-06-30,Minor,Fighting,Warning
DR0035,290,2024-10-17,Major,Dress Code,Warning
DR0036,73,2024-02-19,Major,Disruption,Warning
DR0037,383,2025-04-06,Major,Fighting,Detention
DR0038,215,2025-05-23,Moderate,Cheating,Warning
DR0039,190,2023-07-23,Moderate,Cheating,Suspension
DR0040,306,2025-02-26,Minor,Disruption,Warning
DR0041,81,2025-04-03,Major,Disruption,Suspension
DR0042,42,2023-11-19,Moderate,Dress Code,Suspension
DR0043,218,2025-01-10,Moderate,Dress Code,Detention
DR0044,140,2024-06-10,Minor,Disruption,Detention
DR0045,221,2024-04-07,Minor,Cheating,Suspension
DR0046,348,2024-02-18,Major,Dress Code,Suspension
DR0047,342,2023-11-15,Moderate,Disruption,Warning
DR0048,203,2024-01-01,Major,Disruption,Warning
DR0049,105,2025-03-02,Moderate,Fighting,Warning
DR0050,392,2024-04-04,Moderate,Cheating,Detention
DR0051,62,2023-10-05,Minor,Dress Code,Suspension
DR0052,221,2023-09-28,Minor,Fighting,Detention
DR0053,273,2024-05-08,Major,Fighting,Suspension
DR0054,287,2023-10-01,Major,Cheating,Warning
DR0055,204,2024-04-21,Major,Disruption,Detention
DR0056,10,2025-05-06,Moderate,Disruption,Detention
DR0057,295,2024-04-10,Moderate,Dress Code,Suspension
DR0058,328,2024-10-28,Moderate,Cheating,Warning
DR0059,208,2024-02-08,Minor,Cheating,Warning
DR0060,411,2025-04-04,Major,Dress Code,Suspension
DR0061,471,2023-08-20,Moderate,Disruption,Detention
DR0062,433,2025-02-03,Minor,Fighting,Detention
DR0063,302,2024-07-08,Moderate,Disruption,Detention
DR0064,446,2024-09-06,Moderate,Cheating,Warning
DR0065,171,2023-10-22,Minor,Disruption,Suspension
