grade_id,student_id,assignment_id,score,submitted_on,term_id
1,1,1,23,2015-08-27,4
2,2,1,21,2015-08-26,4
3,3,1,23,2015-08-24,4
4,4,1,25,2015-08-24,4
5,5,1,21,2015-08-28,4
6,6,1,21,2015-08-24,4
7,7,1,25,2015-08-26,4
8,8,1,23,2015-08-28,4
9,9,1,21,2015-08-25,4
10,10,1,23,2015-08-26,4
11,11,1,24,2015-08-25,4
12,12,1,21,2015-08-27,4
13,13,1,21,2015-08-26,4
14,14,1,22,2015-08-25,4
15,15,1,18,2015-08-27,4
16,16,1,18,2015-08-28,4
17,17,1,21,2015-08-25,4
18,18,1,20,2015-08-24,4
19,19,1,22,2015-08-26,4
20,20,1,8,2015-08-24,4
21,21,1,20,2015-08-28,4
22,22,1,19,2015-08-27,4
23,23,1,25,2015-08-26,4
24,24,1,24,2015-08-27,4
25,25,1,21,2015-08-26,4
26,26,1,22,2015-08-27,4
27,27,1,19,2015-08-28,4
28,28,1,21,2015-08-24,4
29,29,1,22,2015-08-26,4
30,30,1,19,2015-08-24,4
31,31,1,23,2015-08-25,4
32,32,1,21,2015-08-25,4
33,33,1,21,2015-08-26,4
34,34,1,21,2015-08-24,4
35,35,1,24,2015-08-26,4
36,36,1,25,2015-08-24,4
37,37,1,22,2015-08-25,4
38,38,1,20,2015-08-28,4
39,39,1,23,2015-08-27,4
40,1,2,16,2015-08-24,4
41,2,2,20,2015-08-24,4
42,3,2,19,2015-08-25,4
43,4,2,15,2015-08-24,4
44,5,2,16,2015-08-24,4
45,6,2,19,2015-08-24,4
46,7,2,20,2015-08-24,4
47,8,2,19,2015-08-24,4
48,9,2,6,2015-08-24,4
49,10,2,18,2015-08-24,4
50,11,2,18,2015-08-24,4
51,12,2,16,2015-08-24,4
52,13,2,17,2015-08-24,4
53,14,2,17,2015-08-24,4
54,15,2,20,2015-08-24,4
55,16,2,19,2015-08-25,4
56,17,2,15,2015-08-24,4
57,18,2,19,2015-08-24,4
58,19,2,18,2015-08-25,4
59,20,2,17,2015-08-24,4
60,21,2,19,2015-08-24,4
61,22,2,20,2015-08-24,4
62,23,2,20,2015-08-24,4
63,24,2,17,2015-08-24,4
64,25,2,18,2015-08-24,4
65,26,2,19,2015-08-24,4
66,27,2,20,2015-08-24,4
67,28,2,17,2015-08-25,4
68,29,2,18,2015-08-25,4
69,30,2,16,2015-08-25,4
70,31,2,21,2015-08-24,4
71,32,2,16,2015-08-24,4
72,33,2,20,2015-08-24,4
73,34,2,21,2015-08-24,4
74,35,2,18,2015-08-24,4
75,36,2,20,2015-08-24,4
76,37,2,19,2015-08-24,4
77,38,2,17,2015-08-24,4
78,39,2,19,2015-08-25,4
79,1,3,42,2015-09-09,4
80,2,3,36,2015-09-05,4
81,3,3,42,2015-09-06,4
82,4,3,29,2015-09-07,4
83,5,3,39,2015-09-09,4
84,6,3,29,2015-09-08,4
85,7,3,37,2015-09-07,4
86,8,3,36,2015-09-08,4
87,9,3,37,2015-09-05,4
88,10,3,30,2015-09-09,4
89,11,3,36,2015-09-09,4
90,12,3,38,2015-09-09,4
91,13,3,42,2015-09-07,4
92,14,3,35,2015-09-09,4
93,15,3,34,2015-09-06,4
94,16,3,35,2015-09-05,4
95,17,3,40,2015-09-07,4
96,18,3,38,2015-09-05,4
97,19,3,35,2015-09-06,4
98,20,3,38,2015-09-07,4
99,21,3,37,2015-09-06,4
100,22,3,40,2015-09-07,4
101,23,3,34,2015-09-08,4
102,24,3,35,2015-09-08,4
103,25,3,35,2015-09-07,4
104,26,3,21,2015-09-05,4
105,27,3,32,2015-09-05,4
106,28,3,38,2015-09-06,4
107,29,3,37,2015-09-06,4
108,30,3,37,2015-09-09,4
109,31,3,36,2015-09-09,4
110,32,3,32,2015-09-08,4
111,33,3,35,2015-09-08,4
112,34,3,35,2015-09-06,4
113,35,3,34,2015-09-08,4
114,36,3,36,2015-09-09,4
115,37,3,38,2015-09-08,4
116,38,3,42,2015-09-08,4
117,39,3,40,2015-09-07,4
118,1,4,32,2015-09-02,4
119,2,4,32,2015-09-01,4
120,3,4,31,2015-09-03,4
121,4,4,26,2015-08-30,4
122,5,4,31,2015-09-02,4
123,6,4,31,2015-09-01,4
124,7,4,36,2015-09-03,4
125,8,4,31,2015-08-31,4
126,9,4,32,2015-08-31,4
127,10,4,31,2015-08-31,4
128,11,4,28,2015-08-31,4
129,12,4,35,2015-09-02,4
130,13,4,33,2015-09-03,4
131,14,4,34,2015-08-31,4
132,15,4,29,2015-09-03,4
133,16,4,35,2015-08-31,4
134,17,4,27,2015-09-02,4
135,18,4,33,2015-08-31,4
136,19,4,36,2015-09-02,4
137,20,4,28,2015-09-01,4
138,21,4,30,2015-09-02,4
139,22,4,32,2015-09-02,4
140,23,4,30,2015-09-03,4
141,24,4,27,2015-09-02,4
142,25,4,32,2015-09-02,4
143,26,4,28,2015-09-02,4
144,27,4,33,2015-08-30,4
145,28,4,29,2015-08-31,4
146,29,4,36,2015-09-01,4
147,30,4,29,2015-09-01,4
148,31,4,30,2015-09-02,4
149,32,4,34,2015-09-02,4
150,33,4,28,2015-08-30,4
151,34,4,32,2015-09-01,4
152,35,4,35,2015-09-01,4
153,36,4,27,2015-08-30,4
154,37,4,32,2015-09-02,4
155,38,4,32,2015-09-02,4
156,39,4,34,2015-08-31,4
157,1,5,56,2015-09-13,4
158,2,5,55,2015-09-14,4
159,3,5,66,2015-09-17,4
160,4,5,64,2015-09-17,4
161,5,5,64,2015-09-14,4
162,6,5,65,2015-09-14,4
163,7,5,59,2015-09-13,4
164,8,5,64,2015-09-17,4
165,9,5,64,2015-09-17,4
166,10,5,59,2015-09-15,4
167,11,5,72,2015-09-15,4
168,12,5,65,2015-09-17,4
169,13,5,56,2015-09-13,4
170,14,5,66,2015-09-16,4
171,15,5,57,2015-09-15,4
172,16,5,67,2015-09-14,4
173,17,5,69,2015-09-14,4
174,18,5,58,2015-09-15,4
175,19,5,68,2015-09-16,4
176,20,5,65,2015-09-17,4
177,21,5,67,2015-09-16,4
178,22,5,72,2015-09-13,4
179,23,5,61,2015-09-13,4
180,24,5,58,2015-09-15,4
181,25,5,58,2015-09-15,4
182,26,5,58,2015-09-16,4
183,27,5,62,2015-09-13,4
184,28,5,65,2015-09-13,4
185,29,5,64,2015-09-16,4
186,30,5,67,2015-09-15,4
187,31,5,63,2015-09-17,4
188,32,5,71,2015-09-16,4
189,33,5,61,2015-09-16,4
190,34,5,72,2015-09-15,4
191,35,5,66,2015-09-17,4
192,36,5,58,2015-09-16,4
193,37,5,56,2015-09-13,4
194,38,5,31,2015-09-16,4
195,39,5,72,2015-09-14,4
196,1,6,28,2015-09-16,4
197,2,6,26,2015-09-16,4
198,3,6,29,2015-09-16,4
199,4,6,28,2015-09-15,4
200,5,6,13,2015-09-15,4
201,6,6,27,2015-09-14,4
202,7,6,25,2015-09-14,4
203,8,6,23,2015-09-14,4
204,9,6,26,2015-09-15,4
205,10,6,29,2015-09-17,4
206,11,6,31,2015-09-14,4
207,12,6,28,2015-09-17,4
208,13,6,24,2015-09-17,4
209,14,6,27,2015-09-17,4
210,15,6,28,2015-09-14,4
211,16,6,25,2015-09-16,4
212,17,6,27,2015-09-15,4
213,18,6,27,2015-09-15,4
214,19,6,24,2015-09-15,4
215,20,6,12,2015-09-18,4
216,21,6,28,2015-09-17,4
217,22,6,28,2015-09-15,4
218,23,6,30,2015-09-15,4
219,24,6,30,2015-09-18,4
220,25,6,24,2015-09-15,4
221,26,6,25,2015-09-14,4
222,27,6,28,2015-09-14,4
223,28,6,28,2015-09-17,4
224,29,6,28,2015-09-17,4
225,30,6,31,2015-09-15,4
226,31,6,28,2015-09-14,4
227,32,6,30,2015-09-18,4
228,33,6,29,2015-09-18,4
229,34,6,29,2015-09-14,4
230,35,6,26,2015-09-16,4
231,36,6,29,2015-09-18,4
232,37,6,25,2015-09-17,4
233,38,6,26,2015-09-14,4
234,39,6,26,2015-09-15,4
235,1,7,15,2015-09-25,4
236,2,7,17,2015-09-27,4
237,3,7,12,2015-09-29,4
238,4,7,16,2015-09-29,4
239,5,7,13,2015-09-28,4
240,6,7,14,2015-09-25,4
241,7,7,16,2015-09-27,4
242,8,7,16,2015-09-25,4
243,9,7,15,2015-09-28,4
244,10,7,13,2015-09-29,4
245,11,7,14,2015-09-28,4
246,12,7,16,2015-09-25,4
247,13,7,14,2015-09-29,4
248,14,7,15,2015-09-27,4
249,15,7,15,2015-09-25,4
250,16,7,14,2015-09-26,4
251,17,7,17,2015-09-26,4
252,18,7,16,2015-09-28,4
253,19,7,12,2015-09-25,4
254,20,7,15,2015-09-28,4
255,21,7,14,2015-09-26,4
256,22,7,1,2015-09-28,4
257,23,7,16,2015-09-29,4
258,24,7,14,2015-09-27,4
259,25,7,15,2015-09-26,4
260,26,7,15,2015-09-26,4
261,27,7,16,2015-09-26,4
262,28,7,13,2015-09-27,4
263,29,7,14,2015-09-27,4
264,30,7,14,2015-09-26,4
265,31,7,14,2015-09-27,4
266,32,7,17,2015-09-25,4
267,33,7,15,2015-09-25,4
268,34,7,13,2015-09-28,4
269,35,7,16,2015-09-25,4
270,36,7,17,2015-09-29,4
271,37,7,16,2015-09-28,4
272,38,7,13,2015-09-27,4
273,39,7,10,2015-09-26,4
274,1,8,11,2015-09-26,4
275,2,8,13,2015-09-22,4
276,3,8,13,2015-09-25,4
277,4,8,11,2015-09-23,4
278,5,8,12,2015-09-22,4
279,6,8,12,2015-09-25,4
280,7,8,10,2015-09-23,4
281,8,8,11,2015-09-24,4
282,9,8,9,2015-09-22,4
283,10,8,10,2015-09-22,4
284,11,8,11,2015-09-22,4
285,12,8,10,2015-09-26,4
286,13,8,13,2015-09-25,4
287,14,8,4,2015-09-24,4
288,15,8,10,2015-09-24,4
289,16,8,11,2015-09-26,4
290,17,8,11,2015-09-24,4
291,18,8,13,2015-09-26,4
292,19,8,10,2015-09-26,4
293,20,8,13,2015-09-24,4
294,21,8,11,2015-09-25,4
295,22,8,10,2015-09-23,4
296,23,8,12,2015-09-26,4
297,24,8,12,2015-09-23,4
298,25,8,11,2015-09-25,4
299,26,8,13,2015-09-22,4
300,27,8,11,2015-09-22,4
301,28,8,11,2015-09-25,4
302,29,8,11,2015-09-24,4
303,30,8,12,2015-09-26,4
304,31,8,13,2015-09-25,4
305,32,8,10,2015-09-22,4
306,33,8,13,2015-09-23,4
307,34,8,9,2015-09-22,4
308,35,8,2,2015-09-26,4
309,36,8,11,2015-09-24,4
310,37,8,12,2015-09-22,4
311,38,8,12,2015-09-26,4
312,39,8,11,2015-09-25,4
313,1,9,32,2015-10-01,4
314,2,9,32,2015-10-02,4
315,3,9,31,2015-10-01,4
316,4,9,36,2015-10-01,4
317,5,9,34,2015-09-30,4
318,6,9,31,2015-10-03,4
319,7,9,36,2015-09-29,4
320,8,9,34,2015-10-02,4
321,9,9,36,2015-09-29,4
322,10,9,35,2015-09-30,4
323,11,9,31,2015-10-02,4
324,12,9,31,2015-09-29,4
325,13,9,35,2015-10-01,4
326,14,9,35,2015-10-03,4
327,15,9,22,2015-10-01,4
328,16,9,33,2015-09-30,4
329,17,9,33,2015-10-02,4
330,18,9,37,2015-10-01,4
331,19,9,31,2015-09-30,4
332,20,9,11,2015-10-02,4
333,21,9,35,2015-10-03,4
334,22,9,32,2015-10-02,4
335,23,9,32,2015-09-30,4
336,24,9,36,2015-09-29,4
337,25,9,36,2015-09-30,4
338,26,9,36,2015-10-02,4
339,27,9,37,2015-09-29,4
340,28,9,33,2015-10-01,4
341,29,9,35,2015-09-29,4
342,30,9,36,2015-10-02,4
343,31,9,32,2015-09-29,4
344,32,9,34,2015-10-01,4
345,33,9,33,2015-10-02,4
346,34,9,24,2015-10-02,4
347,35,9,33,2015-10-02,4
348,36,9,35,2015-10-02,4
349,37,9,31,2015-09-30,4
350,38,9,38,2015-09-30,4
351,39,9,30,2015-10-02,4
352,1,10,13,2015-10-05,4
353,2,10,3,2015-10-03,4
354,3,10,16,2015-10-06,4
355,4,10,16,2015-10-06,4
356,5,10,16,2015-10-05,4
357,6,10,16,2015-10-04,4
358,7,10,15,2015-10-05,4
359,8,10,14,2015-10-06,4
360,9,10,15,2015-10-05,4
361,10,10,14,2015-10-02,4
362,11,10,16,2015-10-03,4
363,12,10,17,2015-10-04,4
364,13,10,12,2015-10-06,4
365,14,10,15,2015-10-06,4
366,15,10,14,2015-10-03,4
367,16,10,14,2015-10-03,4
368,17,10,15,2015-10-02,4
369,18,10,14,2015-10-03,4
370,19,10,14,2015-10-05,4
371,20,10,15,2015-10-03,4
372,21,10,15,2015-10-06,4
373,22,10,14,2015-10-04,4
374,23,10,14,2015-10-02,4
375,24,10,15,2015-10-04,4
376,25,10,13,2015-10-06,4
377,26,10,13,2015-10-03,4
378,27,10,14,2015-10-05,4
379,28,10,14,2015-10-03,4
380,29,10,15,2015-10-02,4
381,30,10,7,2015-10-02,4
382,31,10,17,2015-10-02,4
383,32,10,16,2015-10-06,4
384,33,10,15,2015-10-03,4
385,34,10,15,2015-10-03,4
386,35,10,13,2015-10-04,4
387,36,10,2,2015-10-03,4
388,37,10,15,2015-10-06,4
389,38,10,14,2015-10-02,4
390,39,10,15,2015-10-05,4
391,1,11,15,2015-10-20,4
392,2,11,17,2015-10-18,4
393,3,11,19,2015-10-21,4
394,4,11,16,2015-10-21,4
395,5,11,17,2015-10-18,4
396,6,11,18,2015-10-18,4
397,7,11,16,2015-10-19,4
398,8,11,17,2015-10-17,4
399,9,11,17,2015-10-21,4
400,10,11,17,2015-10-21,4
401,11,11,8,2015-10-21,4
402,12,11,15,2015-10-21,4
403,13,11,17,2015-10-20,4
404,14,11,17,2015-10-17,4
405,15,11,19,2015-10-19,4
406,16,11,18,2015-10-17,4
407,17,11,19,2015-10-19,4
408,18,11,15,2015-10-19,4
409,19,11,18,2015-10-17,4
410,20,11,17,2015-10-17,4
411,21,11,19,2015-10-17,4
412,22,11,15,2015-10-20,4
413,23,11,15,2015-10-20,4
414,24,11,16,2015-10-20,4
415,25,11,13,2015-10-20,4
416,26,11,16,2015-10-20,4
417,27,11,15,2015-10-21,4
418,28,11,17,2015-10-18,4
419,29,11,17,2015-10-17,4
420,30,11,19,2015-10-17,4
421,31,11,18,2015-10-19,4
422,32,11,16,2015-10-17,4
423,33,11,15,2015-10-18,4
424,34,11,17,2015-10-18,4
425,35,11,15,2015-10-21,4
426,36,11,19,2015-10-17,4
427,37,11,18,2015-10-21,4
428,38,11,16,2015-10-17,4
429,39,11,14,2015-10-18,4
430,1,12,69,2015-10-20,4
431,2,12,61,2015-10-21,4
432,3,12,69,2015-10-19,4
433,4,12,53,2015-10-17,4
434,5,12,28,2015-10-20,4
435,6,12,58,2015-10-19,4
436,7,12,68,2015-10-21,4
437,8,12,62,2015-10-17,4
438,9,12,68,2015-10-19,4
439,10,12,62,2015-10-20,4
440,11,12,59,2015-10-19,4
441,12,12,65,2015-10-20,4
442,13,12,56,2015-10-19,4
443,14,12,61,2015-10-21,4
444,15,12,62,2015-10-19,4
445,16,12,65,2015-10-19,4
446,17,12,66,2015-10-17,4
447,18,12,55,2015-10-20,4
448,19,12,53,2015-10-19,4
449,20,12,69,2015-10-18,4
450,21,12,64,2015-10-17,4
451,22,12,58,2015-10-19,4
452,23,12,71,2015-10-20,4
453,24,12,62,2015-10-21,4
454,25,12,68,2015-10-17,4
455,26,12,62,2015-10-21,4
456,27,12,71,2015-10-21,4
457,28,12,71,2015-10-20,4
458,29,12,60,2015-10-18,4
459,30,12,67,2015-10-17,4
460,31,12,65,2015-10-17,4
461,32,12,70,2015-10-21,4
462,33,12,56,2015-10-21,4
463,34,12,66,2015-10-20,4
464,35,12,68,2015-10-18,4
465,36,12,52,2015-10-18,4
466,37,12,55,2015-10-20,4
467,38,12,50,2015-10-20,4
468,39,12,60,2015-10-18,4
469,1,13,11,2015-10-28,4
470,2,13,12,2015-10-26,4
471,3,13,11,2015-10-30,4
472,4,13,12,2015-10-29,4
473,5,13,9,2015-10-27,4
474,6,13,9,2015-10-30,4
475,7,13,10,2015-10-26,4
476,8,13,11,2015-10-30,4
477,9,13,10,2015-10-28,4
478,10,13,8,2015-10-28,4
479,11,13,10,2015-10-28,4
480,12,13,9,2015-10-29,4
481,13,13,11,2015-10-29,4
482,14,13,2,2015-10-27,4
483,15,13,11,2015-10-29,4
484,16,13,7,2015-10-28,4
485,17,13,10,2015-10-26,4
486,18,13,10,2015-10-28,4
487,19,13,9,2015-10-26,4
488,20,13,10,2015-10-28,4
489,21,13,11,2015-10-29,4
