payment_id,guardian_id,fee_type_id,amount_paid,payment_date
PMT0001,328,1,50,2024-11-25
PMT0002,380,3,100,2023-10-12
PMT0003,115,2,50,2023-08-06
PMT0004,347,5,50,2025-02-12
PMT0005,303,4,50,2024-02-16
PMT0006,16,1,100,2024-01-24
PMT0007,120,5,8000,2024-01-07
PMT0008,14,5,100,2023-11-03
PMT0009,367,5,400,2025-02-09
PMT0010,113,4,8000,2023-10-05
PMT0011,143,1,100,2024-12-24
PMT0012,358,4,150,2025-02-12
PMT0013,143,2,100,2025-06-09
PMT0014,391,3,50,2024-09-13
PMT0015,48,4,50,2023-09-23
PMT0016,184,3,8000,2024-10-18
PMT0017,136,1,400,2024-06-09
PMT0018,275,1,400,2023-08-11
PMT0019,41,5,150,2023-08-10
PMT0020,322,5,150,2023-09-28
PMT0021,296,2,50,2024-01-03
PMT0022,24,2,150,2024-01-14
PMT0023,41,2,50,2024-08-13
PMT0024,195,3,400,2024-10-27
PMT0025,326,3,100,2023-08-07
PMT0026,190,3,100,2024-09-25
PMT0027,344,3,50,2023-12-19
PMT0028,312,2,8000,2025-01-24
PMT0029,374,2,100,2024-12-03
PMT0030,237,4,150,2025-01-12
PMT0031,328,5,100,2024-09-13
PMT0032,351,3,50,2024-06-07
PMT0033,118,1,150,2024-01-05
PMT0034,206,3,50,2024-06-30
PMT0035,109,5,150,2024-10-17
PMT0036,109,4,400,2024-02-19
PMT0037,330,4,100,2025-04-06
PMT0038,136,2,100,2025-05-23
PMT0039,382,5,8000,2023-07-23
PMT0040,135,5,400,2025-02-26
PMT0041,299,4,150,2025-04-03
PMT0042,113,2,8000,2023-11-19
PMT0043,253,1,50,2025-01-10
PMT0044,57,2,100,2024-06-10
PMT0045,349,4,8000,2024-04-07
PMT0046,33,4,400,2024-02-18
PMT0047,306,4,8000,2023-11-15
PMT0048,129,5,50,2024-01-01
PMT0049,349,1,8000,2025-03-02
PMT0050,385,3,150,2024-04-04
PMT0051,58,3,400,2023-10-05
PMT0052,81,4,50,2023-09-28
PMT0053,370,3,8000,2024-05-08
PMT0054,391,2,8000,2023-10-01
PMT0055,55,3,8000,2024-04-21
PMT0056,312,2,100,2025-05-06
PMT0057,192,2,8000,2024-04-10
PMT0058,399,5,50,2024-10-28
PMT0059,307,3,400,2024-02-08
PMT0060,10,1,150,2025-04-04
PMT0061,158,2,50,2023-08-20
PMT0062,124,5,50,2025-02-03
PMT0063,44,4,50,2024-07-08
PMT0064,390,5,100,2024-09-06
PMT0065,66,4,8000,2023-10-22
PMT0066,85,3,8000,2025-07-03
PMT0067,311,4,100,2024-05-07
PMT0068,277,2,150,2023-09-17
PMT0069,205,3,400,2024-09-18
PMT0070,265,4,50,2024-03-01
PMT0071,127,2,50,2025-04-22
PMT0072,174,1,8000,2024-11-17
PMT0073,284,2,8000,2024-11-09
PMT0074,113,1,50,2025-06-04
PMT0075,363,1,100,2025-05-17
PMT0076,35,1,150,2024-04-23
PMT0077,37,5,100,2024-10-08
PMT0078,143,4,100,2023-12-14
PMT0079,277,2,8000,2025-01-15
PMT0080,296,4,100,2023-09-10
PMT0081,243,4,100,2023-08-22
PMT0082,49,1,400,2024-12-12
PMT0083,182,4,400,2024-01-11
PMT0084,240,1,50,2025-03-09
PMT0085,32,4,150,2024-02-27
PMT0086,56,2,100,2023-09-17
PMT0087,98,5,400,2025-05-12
PMT0088,72,4,100,2024-01-14
PMT0089,143,4,100,2025-05-21
PMT0090,39,4,8000,2023-10-04
PMT0091,51,1,8000,2024-05-08
PMT0092,8,1,100,2024-02-18
PMT0093,86,4,400,2024-07-04
PMT0094,247,2,400,2024-11-22
PMT0095,31,2,400,2025-04-25
PMT0096,2,4,150,2024-04-26
PMT0097,233,3,400,2023-11-21
PMT0098,357,5,400,2024-04-30
PMT0099,80,2,150,2024-04-18
PMT0100,112,1,8000,2023-12-27
PMT0101,377,5,50,2024-12-19
PMT0102,383,3,50,2024-02-10
PMT0103,26,5,400,2025-01-13
PMT0104,258,5,100,2025-07-14
PMT0105,30,5,50,2024-12-29
PMT0106,96,1,8000,2024-12-02
PMT0107,35,2,400,2023-09-11
PMT0108,62,5,100,2024-11-02
PMT0109,297,5,50,2024-11-22
PMT0110,318,1,400,2023-11-27
PMT0111,337,5,8000,2024-09-04
PMT0112,268,3,150,2025-02-03
PMT0113,105,3,100,2024-01-24
PMT0114,136,4,100,2023-11-21
PMT0115,344,3,400,2024-07-11
PMT0116,162,1,50,2024-05-07
PMT0117,235,5,8000,2024-02-12
PMT0118,52,1,8000,2025-07-05
PMT0119,110,5,150,2024-11-26
PMT0120,68,3,50,2025-01-02
PMT0121,126,3,150,2024-09-22
PMT0122,81,4,8000,2024-01-04
PMT0123,361,3,8000,2024-12-30
PMT0124,335,5,50,2024-03-25
PMT0125,342,5,150,2025-05-02
PMT0126,340,1,100,2025-03-05
PMT0127,136,1,50,2025-03-11
PMT0128,381,5,100,2023-08-30
PMT0129,140,3,8000,2024-01-11
PMT0130,108,3,100,2025-04-16
PMT0131,352,3,8000,2023-08-11
PMT0132,251,3,50,2025-04-03
PMT0133,48,4,150,2024-03-19
PMT0134,23,1,150,2024-05-24
PMT0135,395,2,150,2024-02-10
PMT0136,83,4,8000,2023-09-07
PMT0137,362,4,8000,2023-12-28
PMT0138,5,1,50,2025-06-26
PMT0139,354,2,8000,2024-09-30
PMT0140,19,3,8000,2025-05-28
PMT0141,283,2,400,2025-01-25
PMT0142,66,1,150,2024-03-18
PMT0143,187,1,150,2023-12-30
PMT0144,108,2,50,2024-12-08
PMT0145,182,5,400,2024-08-08
PMT0146,318,2,100,2024-05-20
PMT0147,84,2,400,2025-06-04
PMT0148,13,2,150,2025-06-27
PMT0149,211,2,150,2024-11-28
PMT0150,82,1,400,2024-07-08
PMT0151,20,4,100,2023-11-05
PMT0152,103,4,150,2024-02-08
PMT0153,157,2,100,2023-11-03
PMT0154,13,2,400,2024-01-25
PMT0155,169,3,50,2025-02-15
PMT0156,396,3,150,2024-09-26
PMT0157,329,5,400,2024-09-08
PMT0158,348,5,150,2024-02-07
PMT0159,15,1,150,2025-02-17
PMT0160,92,5,150,2024-10-14
PMT0161,20,1,8000,2024-06-14
PMT0162,223,3,150,2025-06-14
PMT0163,224,5,8000,2024-10-13
PMT0164,60,4,8000,2024-05-23
PMT0165,98,3,50,2024-04-24
PMT0166,363,4,50,2024-01-04
PMT0167,267,5,100,2023-11-02
PMT0168,187,4,50,2024-08-16
PMT0169,341,3,8000,2024-08-04
PMT0170,161,1,150,2023-09-26
PMT0171,260,3,400,2025-02-24
PMT0172,168,4,150,2023-08-23
PMT0173,284,2,100,2025-05-16
PMT0174,216,4,100,2023-10-11
PMT0175,316,5,150,2023-11-13
PMT0176,208,5,50,2024-11-16
PMT0177,156,3,100,2023-11-19
PMT0178,221,5,8000,2025-03-24
PMT0179,336,3,400,2024-12-27
PMT0180,227,4,100,2024-06-09
PMT0181,262,4,100,2024-10-23
PMT0182,338,1,150,2023-09-05
PMT0183,264,5,150,2024-05-11
PMT0184,48,2,150,2024-05-09
PMT0185,116,2,100,2024-10-22
PMT0186,13,1,100,2024-07-15
PMT0187,244,5,50,2024-08-31
PMT0188,234,4,8000,2024-01-29
PMT0189,100,4,400,2024-09-19
PMT0190,205,2,100,2025-05-16
PMT0191,336,1,50,2023-07-26
PMT0192,399,4,100,2024-12-27
PMT0193,91,5,400,2025-01-27
PMT0194,26,5,100,2023-10-14
PMT0195,63,4,100,2024-12-28
PMT0196,238,5,8000,2025-06-04
PMT0197,305,3,400,2024-09-07
PMT0198,314,5,400,2025-02-20
PMT0199,281,4,100,2024-02-10
PMT0200,381,4,400,2025-03-05
PMT0201,133,2,150,2024-11-26
PMT0202,393,5,400,2024-04-07
PMT0203,321,2,150,2023-10-12
PMT0204,226,1,150,2024-03-01
PMT0205,121,3,150,2024-06-19
PMT0206,164,5,50,2023-11-17
PMT0207,71,2,100,2024-07-04
PMT0208,197,2,100,2023-07-20
PMT0209,33,4,400,2025-01-28
PMT0210,170,5,400,2025-05-28
PMT0211,213,1,100,2025-01-26
PMT0212,216,4,8000,2024-02-07
PMT0213,357,1,8000,2024-08-09
PMT0214,195,4,50,2025-02-28
PMT0215,181,3,400,2023-12-03
PMT0216,215,5,8000,2024-08-15
PMT0217,309,2,400,2025-06-25
PMT0218,113,3,400,2023-10-08
PMT0219,249,1,400,2025-05-24
PMT0220,173,4,100,2024-11-14
PMT0221,240,2,8000,2024-03-05
PMT0222,274,1,400,2025-05-01
PMT0223,304,5,50,2024-11-25
PMT0224,43,4,100,2024-08-15
PMT0225,237,2,50,2024-11-02
PMT0226,134,4,150,2023-12-19
PMT0227,109,4,150,2023-11-13
