student_grade_history_id,student_id,school_year_id,gpa,grade_level_id
GH0001,1,1,3.58,12
GH0002,2,1,3.45,9
GH0003,3,1,3.49,6
GH0004,4,1,2.11,7
GH0005,5,1,2.46,2
GH0006,6,1,2.68,10
GH0007,7,1,3.91,7
GH0008,8,1,3.94,6
GH0009,9,1,2.06,5
GH0010,10,1,3.57,8
GH0011,11,1,2.98,6
GH0012,12,1,3.11,7
GH0013,13,1,2.86,11
GH0014,14,1,3.17,7
GH0015,15,1,2.17,10
GH0016,16,1,2.59,4
GH0017,17,1,3.43,2
GH0018,18,1,2.54,7
GH0019,19,1,3.42,11
GH0020,20,1,2.31,7
GH0021,21,1,2.63,2
GH0022,22,1,2.18,5
GH0023,23,1,2.89,5
GH0024,24,1,2.2,2
GH0025,25,1,2.37,8
GH0026,26,1,3.11,9
GH0027,27,1,2.82,1
GH0028,28,1,2.18,9
GH0029,29,1,2.19,10
GH0030,30,1,3.57,7
GH0031,31,1,2.02,7
GH0032,32,1,2.78,2
GH0033,33,1,3.45,9
GH0034,34,1,3.81,4
GH0035,35,1,3.14,3
GH0036,36,1,3.37,3
GH0037,37,1,2.28,5
GH0038,38,1,2.54,3
GH0039,39,1,2.13,7
GH0040,40,1,2.55,5
GH0041,41,1,2.97,2
GH0042,42,1,2.72,4
GH0043,43,1,3.44,8
GH0044,44,1,3.19,4
GH0045,45,1,2.92,3
GH0046,46,1,2.61,7
GH0047,47,1,2.66,10
GH0048,48,1,2.76,6
GH0049,49,1,2.88,7
GH0050,50,1,3.63,11
GH0051,51,1,3.95,3
GH0052,52,1,2.6,10
GH0053,53,1,3.89,4
GH0054,54,1,2.96,3
GH0055,55,1,3.93,6
GH0056,56,1,2.58,12
GH0057,57,1,3.27,10
GH0058,58,1,3.56,6
GH0059,59,1,2.75,7
GH0060,60,1,2.73,10
GH0061,61,1,2.4,9
GH0062,62,1,2.36,9
GH0063,63,1,2.05,12
GH0064,64,1,2.92,12
GH0065,65,1,2.42,5
GH0066,66,1,3.66,2
GH0067,67,1,3.64,7
GH0068,68,1,3.35,3
GH0069,69,1,3.27,4
GH0070,70,1,2.51,3
GH0071,71,1,3.43,7
GH0072,72,1,2.15,10
GH0073,73,1,2.96,7
GH0074,74,1,3.07,12
GH0075,75,1,2.84,1
GH0076,76,1,3.58,6
GH0077,77,1,3.4,9
GH0078,78,1,3.19,2
GH0079,79,1,2.22,4
GH0080,80,1,3.32,6
GH0081,81,1,2.33,10
GH0082,82,1,2.09,11
GH0083,83,1,3.35,7
GH0084,84,1,3.93,6
GH0085,85,1,3.93,7
GH0086,86,1,2.21,2
GH0087,87,1,2.52,9
GH0088,88,1,3.49,9
GH0089,89,1,3.16,10
GH0090,90,1,2.44,6
GH0091,91,1,2.78,11
GH0092,92,1,3.18,9
GH0093,93,1,2.3,1
GH0094,94,1,2.97,5
GH0095,95,1,2.83,2
GH0096,96,1,2.23,12
GH0097,97,1,2.28,5
GH0098,98,1,2.69,4
GH0099,99,1,3.04,6
GH0100,100,1,2.95,8
GH0101,101,1,3.44,8
GH0102,102,1,2.64,5
GH0103,103,1,2.09,12
GH0104,104,1,2.23,6
GH0105,105,1,3.3,11
GH0106,106,1,3.6,12
GH0107,107,1,2.49,3
GH0108,108,1,3.1,6
GH0109,109,1,3.12,8
GH0110,110,1,2.46,7
GH0111,111,1,3.26,3
GH0112,112,1,3.28,7
GH0113,113,1,2.79,12
GH0114,114,1,3.23,4
GH0115,115,1,2.9,7
GH0116,116,1,2.78,12
GH0117,117,1,2.43,5
GH0118,118,1,3.5,2
GH0119,119,1,3.15,9
GH0120,120,1,2.37,6
GH0121,121,1,2.39,2
GH0122,122,1,2.52,8
GH0123,123,1,3.06,11
GH0124,124,1,2.63,7
GH0125,125,1,3.22,10
GH0126,126,1,2.23,6
GH0127,127,1,3.69,10
GH0128,128,1,2.35,11
GH0129,129,1,3.41,5
GH0130,130,1,3.84,10
GH0131,131,1,2.17,3
GH0132,132,1,2.63,4
GH0133,133,1,2.61,3
GH0134,134,1,2.75,3
GH0135,135,1,3.02,7
GH0136,136,1,3.19,10
GH0137,137,1,2.77,3
GH0138,138,1,2.97,9
GH0139,139,1,3.39,11
GH0140,140,1,3.86,3
GH0141,141,1,3.11,8
GH0142,142,1,2.58,3
GH0143,143,1,2.63,8
GH0144,144,1,3.24,6
GH0145,145,1,3.9,8
GH0146,146,1,2.27,7
GH0147,147,1,3.93,9
GH0148,148,1,3.31,7
GH0149,149,1,3.37,7
GH0150,150,1,3.42,8
GH0151,151,1,2.98,2
GH0152,152,1,3.13,4
GH0153,153,1,2.58,5
GH0154,154,1,2.45,5
GH0155,155,1,2.34,8
GH0156,156,1,3.13,8
GH0157,157,1,3.1,2
GH0158,158,1,3.15,5
GH0159,159,1,3.55,6
GH0160,160,1,3.08,1
GH0161,161,1,3.52,8
GH0162,162,1,3.09,7
GH0163,163,1,2.2,11
GH0164,164,1,3.5,5
GH0165,165,1,3.75,1
GH0166,166,1,2.9,6
GH0167,167,1,3.72,2
GH0168,168,1,2.88,2
GH0169,169,1,3.55,4
GH0170,170,1,2.42,12
GH0171,171,1,3.18,6
GH0172,172,1,3.72,10
