enrollment_id,student_id,class_id
ENR000001,1,1
ENR000002,2,1
ENR000003,3,1
ENR000004,4,1
ENR000005,5,1
ENR000006,7,1
ENR000007,8,1
ENR000008,9,1
ENR000009,10,1
ENR000010,11,1
ENR000011,12,1
ENR000012,13,1
ENR000013,14,1
ENR000014,15,1
ENR000015,16,1
ENR000016,17,1
ENR000017,18,1
ENR000018,19,1
ENR000019,20,1
ENR000020,21,1
ENR000021,22,1
ENR000022,23,1
ENR000023,24,1
ENR000024,26,1
ENR000025,27,1
ENR000026,28,1
ENR000027,29,1
ENR000028,31,1
ENR000029,32,1
ENR000030,33,1
ENR000031,34,1
ENR000032,35,1
ENR000033,36,1
ENR000034,37,1
ENR000035,38,1
ENR000036,39,1
ENR000037,638,1
ENR000038,739,1
ENR000039,844,1
ENR000040,957,1
ENR000041,958,1
ENR000042,1012,1
ENR000043,1018,1
ENR000044,1,2
ENR000045,2,2
ENR000046,3,2
ENR000047,4,2
ENR000048,5,2
ENR000049,7,2
ENR000050,8,2
ENR000051,9,2
ENR000052,10,2
ENR000053,11,2
ENR000054,12,2
ENR000055,13,2
ENR000056,14,2
ENR000057,15,2
ENR000058,16,2
ENR000059,17,2
ENR000060,18,2
ENR000061,19,2
ENR000062,20,2
ENR000063,21,2
ENR000064,22,2
ENR000065,23,2
ENR000066,24,2
ENR000067,26,2
ENR000068,27,2
ENR000069,28,2
ENR000070,29,2
ENR000071,31,2
ENR000072,32,2
ENR000073,33,2
ENR000074,34,2
ENR000075,35,2
ENR000076,36,2
ENR000077,37,2
ENR000078,38,2
ENR000079,39,2
ENR000080,638,2
ENR000081,739,2
ENR000082,844,2
ENR000083,957,2
ENR000084,958,2
ENR000085,1012,2
ENR000086,1018,2
ENR000087,1,3
ENR000088,2,3
ENR000089,3,3
ENR000090,4,3
ENR000091,5,3
ENR000092,7,3
ENR000093,8,3
ENR000094,9,3
ENR000095,10,3
ENR000096,11,3
ENR000097,12,3
ENR000098,13,3
ENR000099,14,3
ENR000100,15,3
ENR000101,16,3
ENR000102,17,3
ENR000103,18,3
ENR000104,19,3
ENR000105,20,3
ENR000106,21,3
ENR000107,22,3
ENR000108,23,3
ENR000109,24,3
ENR000110,26,3
ENR000111,27,3
ENR000112,28,3
ENR000113,29,3
ENR000114,31,3
ENR000115,32,3
ENR000116,33,3
ENR000117,34,3
ENR000118,35,3
ENR000119,36,3
ENR000120,37,3
ENR000121,38,3
ENR000122,39,3
ENR000123,638,3
ENR000124,739,3
ENR000125,844,3
ENR000126,957,3
ENR000127,958,3
ENR000128,1012,3
ENR000129,1018,3
ENR000130,1,4
ENR000131,2,4
ENR000132,3,4
ENR000133,4,4
ENR000134,5,4
ENR000135,7,4
ENR000136,8,4
ENR000137,9,4
ENR000138,10,4
ENR000139,11,4
ENR000140,12,4
ENR000141,13,4
ENR000142,14,4
ENR000143,15,4
ENR000144,16,4
ENR000145,17,4
ENR000146,18,4
ENR000147,19,4
ENR000148,20,4
ENR000149,21,4
ENR000150,22,4
ENR000151,23,4
ENR000152,24,4
ENR000153,26,4
ENR000154,27,4
ENR000155,28,4
ENR000156,29,4
ENR000157,31,4
ENR000158,32,4
ENR000159,33,4
ENR000160,34,4
ENR000161,35,4
ENR000162,36,4
ENR000163,37,4
ENR000164,38,4
ENR000165,39,4
ENR000166,638,4
ENR000167,739,4
ENR000168,844,4
ENR000169,957,4
ENR000170,958,4
ENR000171,1012,4
ENR000172,1018,4
ENR000173,1,5
ENR000174,2,5
ENR000175,3,5
ENR000176,4,5
ENR000177,5,5
ENR000178,7,5
ENR000179,8,5
ENR000180,9,5
ENR000181,10,5
ENR000182,11,5
ENR000183,12,5
ENR000184,13,5
ENR000185,14,5
ENR000186,15,5
ENR000187,16,5
ENR000188,17,5
ENR000189,18,5
ENR000190,19,5
ENR000191,20,5
ENR000192,21,5
ENR000193,22,5
ENR000194,23,5
ENR000195,24,5
ENR000196,26,5
ENR000197,27,5
ENR000198,28,5
ENR000199,29,5
ENR000200,31,5
ENR000201,32,5
ENR000202,33,5
ENR000203,34,5
ENR000204,35,5
ENR000205,36,5
ENR000206,37,5
ENR000207,38,5
ENR000208,39,5
ENR000209,638,5
ENR000210,739,5
ENR000211,844,5
ENR000212,957,5
ENR000213,958,5
ENR000214,1012,5
ENR000215,1018,5
ENR000216,1,6
ENR000217,2,6
ENR000218,3,6
ENR000219,4,6
ENR000220,5,6
ENR000221,7,6
ENR000222,8,6
ENR000223,9,6
ENR000224,10,6
ENR000225,11,6
ENR000226,12,6
ENR000227,13,6
ENR000228,14,6
ENR000229,15,6
ENR000230,16,6
ENR000231,17,6
ENR000232,18,6
ENR000233,19,6
ENR000234,20,6
ENR000235,21,6
ENR000236,22,6
ENR000237,23,6
ENR000238,24,6
ENR000239,26,6
ENR000240,27,6
ENR000241,28,6
ENR000242,29,6
ENR000243,31,6
ENR000244,32,6
ENR000245,33,6
ENR000246,34,6
ENR000247,35,6
ENR000248,36,6
ENR000249,37,6
ENR000250,38,6
ENR000251,39,6
ENR000252,638,6
ENR000253,739,6
ENR000254,844,6
ENR000255,957,6
ENR000256,958,6
ENR000257,1012,6
ENR000258,1018,6
ENR000259,40,7
ENR000260,43,7
ENR000261,44,7
ENR000262,46,7
ENR000263,48,7
ENR000264,49,7
ENR000265,50,7
ENR000266,51,7
ENR000267,52,7
ENR000268,53,7
ENR000269,54,7
ENR000270,55,7
ENR000271,56,7
ENR000272,57,7
ENR000273,58,7
ENR000274,59,7
ENR000275,60,7
ENR000276,61,7
ENR000277,62,7
ENR000278,63,7
ENR000279,64,7
ENR000280,65,7
ENR000281,66,7
ENR000282,67,7
ENR000283,68,7
ENR000284,69,7
ENR000285,70,7
ENR000286,71,7
ENR000287,72,7
ENR000288,73,7
ENR000289,74,7
ENR000290,75,7
ENR000291,76,7
ENR000292,77,7
ENR000293,78,7
ENR000294,543,7
ENR000295,736,7
ENR000296,847,7
ENR000297,904,7
ENR000298,1015,7
ENR000299,40,8
ENR000300,43,8
ENR000301,44,8
ENR000302,46,8
ENR000303,48,8
ENR000304,49,8
ENR000305,50,8
ENR000306,51,8
ENR000307,52,8
ENR000308,53,8
ENR000309,54,8
ENR000310,55,8
ENR000311,56,8
ENR000312,57,8
ENR000313,58,8
ENR000314,59,8
ENR000315,60,8
ENR000316,61,8
ENR000317,62,8
ENR000318,63,8
ENR000319,64,8
ENR000320,65,8
ENR000321,66,8
ENR000322,67,8
ENR000323,68,8
ENR000324,69,8
ENR000325,70,8
ENR000326,71,8
ENR000327,72,8
ENR000328,73,8
ENR000329,74,8
ENR000330,75,8
ENR000331,76,8
ENR000332,77,8
ENR000333,78,8
ENR000334,543,8
ENR000335,736,8
ENR000336,847,8
ENR000337,904,8
ENR000338,1015,8
ENR000339,40,9
ENR000340,43,9
ENR000341,44,9
ENR000342,46,9
ENR000343,48,9
ENR000344,49,9
ENR000345,50,9
ENR000346,51,9
ENR000347,52,9
ENR000348,53,9
ENR000349,54,9
ENR000350,55,9
ENR000351,56,9
ENR000352,57,9
ENR000353,58,9
ENR000354,59,9
ENR000355,60,9
ENR000356,61,9
ENR000357,62,9
ENR000358,63,9
ENR000359,64,9
ENR000360,65,9
ENR000361,66,9
ENR000362,67,9
ENR000363,68,9
ENR000364,69,9
ENR000365,70,9
ENR000366,71,9
ENR000367,72,9
ENR000368,73,9
ENR000369,74,9
ENR000370,75,9
ENR000371,76,9
ENR000372,77,9
ENR000373,78,9
ENR000374,543,9
ENR000375,736,9
ENR000376,847,9
ENR000377,904,9
ENR000378,1015,9
ENR000379,40,10
ENR000380,43,10
ENR000381,44,10
ENR000382,46,10
ENR000383,48,10
ENR000384,49,10
ENR000385,50,10
ENR000386,51,10
ENR000387,52,10
ENR000388,53,10
ENR000389,54,10
ENR000390,55,10
ENR000391,56,10
ENR000392,57,10
ENR000393,58,10
ENR000394,59,10
ENR000395,60,10
ENR000396,61,10
ENR000397,62,10
ENR000398,63,10
ENR000399,64,10
ENR000400,65,10
ENR000401,66,10
ENR000402,67,10
ENR000403,68,10
ENR000404,69,10
ENR000405,70,10
ENR000406,71,10
ENR000407,72,10
ENR000408,73,10
ENR000409,74,10
ENR000410,75,10
ENR000411,76,10
ENR000412,77,10
ENR000413,78,10
ENR000414,543,10
ENR000415,736,10
ENR000416,847,10
ENR000417,904,10
ENR000418,1015,10
ENR000419,40,11
ENR000420,43,11
ENR000421,44,11
ENR000422,46,11
ENR000423,48,11
ENR000424,49,11
ENR000425,50,11
ENR000426,51,11
ENR000427,52,11
ENR000428,53,11
ENR000429,54,11
ENR000430,55,11
ENR000431,56,11
ENR000432,57,11
ENR000433,58,11
ENR000434,59,11
ENR000435,60,11
ENR000436,61,11
ENR000437,62,11
ENR000438,63,11
ENR000439,64,11
ENR000440,65,11
ENR000441,66,11
ENR000442,67,11
ENR000443,68,11
ENR000444,69,11
ENR000445,70,11
ENR000446,71,11
ENR000447,72,11
ENR000448,73,11
ENR000449,74,11
ENR000450,75,11
ENR000451,76,11
ENR000452,77,11
ENR000453,78,11
ENR000454,543,11
ENR000455,736,11
ENR000456,847,11
ENR000457,904,11
ENR000458,1015,11
ENR000459,40,12
ENR000460,43,12
ENR000461,44,12
ENR000462,46,12
ENR000463,48,12
ENR000464,49,12
ENR000465,50,12
ENR000466,51,12
ENR000467,52,12
ENR000468,53,12
ENR000469,54,12
ENR000470,55,12
ENR000471,56,12
ENR000472,57,12
ENR000473,58,12
ENR000474,59,12
ENR000475,60,12
ENR000476,61,12
ENR000477,62,12
ENR000478,63,12
ENR000479,64,12
ENR000480,65,12
ENR000481,66,12
ENR000482,67,12
ENR000483,68,12
