grade_id,student_id,assignment_id,score,submitted_on,term_id
1,1,1,37,2026-05-04,1
2,2,1,32,2026-05-04,1
3,3,1,18,2026-05-04,1
4,4,1,40,2026-05-04,1
5,5,1,34,2026-05-04,1
6,7,1,38,2026-05-04,1
7,8,1,34,2026-05-04,1
8,9,1,38,2026-05-04,1
9,10,1,31,2026-05-04,1
10,11,1,34,2026-05-04,1
11,12,1,34,2026-05-04,1
12,13,1,39,2026-05-04,1
13,14,1,36,2026-05-04,1
14,15,1,32,2026-05-04,1
15,16,1,38,2026-05-04,1
16,17,1,13,2026-05-04,1
17,18,1,40,2026-05-04,1
18,19,1,36,2026-05-04,1
19,20,1,37,2026-05-04,1
20,21,1,35,2026-05-04,1
21,22,1,35,2026-05-04,1
22,23,1,34,2026-05-04,1
23,24,1,41,2026-05-04,1
24,26,1,28,2026-05-04,1
25,27,1,39,2026-05-04,1
26,28,1,39,2026-05-04,1
27,29,1,33,2026-05-04,1
28,31,1,38,2026-05-04,1
29,32,1,34,2026-05-04,1
30,33,1,35,2026-05-04,1
31,34,1,36,2026-05-04,1
32,35,1,38,2026-05-04,1
33,36,1,35,2026-05-04,1
34,37,1,42,2026-05-04,1
35,38,1,18,2026-05-04,1
36,39,1,39,2026-05-04,1
37,638,1,33,2026-05-04,1
38,739,1,29,2026-05-04,1
39,844,1,37,2026-05-04,1
40,957,1,36,2026-05-04,1
41,958,1,31,2026-05-04,1
42,1012,1,42,2026-05-04,1
43,1018,1,41,2026-05-04,1
44,1,2,46,2026-03-25,1
45,2,2,38,2026-03-25,1
46,3,2,34,2026-03-25,1
47,4,2,44,2026-03-25,1
48,5,2,25,2026-03-25,1
49,7,2,47,2026-03-25,1
50,8,2,36,2026-03-25,1
51,9,2,41,2026-03-25,1
52,10,2,37,2026-03-25,1
53,11,2,34,2026-03-25,1
54,12,2,38,2026-03-25,1
55,13,2,45,2026-03-25,1
56,14,2,43,2026-03-25,1
57,15,2,39,2026-03-25,1
58,16,2,43,2026-03-25,1
59,17,2,42,2026-03-25,1
60,18,2,44,2026-03-25,1
61,19,2,41,2026-03-25,1
62,20,2,42,2026-03-25,1
63,21,2,41,2026-03-25,1
64,22,2,34,2026-03-25,1
65,23,2,17,2026-03-25,1
66,24,2,40,2026-03-25,1
67,26,2,46,2026-03-25,1
68,27,2,41,2026-03-25,1
69,28,2,39,2026-03-25,1
70,29,2,49,2026-03-25,1
71,31,2,44,2026-03-25,1
72,32,2,37,2026-03-25,1
73,33,2,37,2026-03-25,1
74,34,2,47,2026-03-25,1
75,35,2,39,2026-03-25,1
76,36,2,36,2026-03-25,1
77,37,2,49,2026-03-25,1
78,38,2,35,2026-03-25,1
79,39,2,35,2026-03-25,1
80,638,2,43,2026-03-25,1
81,739,2,45,2026-03-25,1
82,844,2,39,2026-03-25,1
83,957,2,40,2026-03-25,1
84,958,2,38,2026-03-25,1
85,1012,2,45,2026-03-25,1
86,1018,2,38,2026-03-25,1
87,1,3,5,2025-10-05,2
88,2,3,23,2025-10-05,2
89,3,3,27,2025-10-05,2
90,4,3,62,2025-10-05,2
91,5,3,58,2025-10-05,2
92,7,3,56,2025-10-05,2
93,8,3,58,2025-10-05,2
94,9,3,50,2025-10-05,2
95,10,3,52,2025-10-05,2
96,11,3,50,2025-10-05,2
97,12,3,54,2025-10-05,2
98,13,3,55,2025-10-05,2
99,14,3,49,2025-10-05,2
100,15,3,50,2025-10-05,2
101,16,3,51,2025-10-05,2
102,17,3,48,2025-10-05,2
103,18,3,58,2025-10-05,2
104,19,3,57,2025-10-05,2
105,20,3,59,2025-10-05,2
106,21,3,22,2025-10-05,2
107,22,3,53,2025-10-05,2
108,23,3,63,2025-10-05,2
109,24,3,57,2025-10-05,2
110,26,3,59,2025-10-05,2
111,27,3,54,2025-10-05,2
112,28,3,45,2025-10-05,2
113,29,3,59,2025-10-05,2
114,31,3,14,2025-10-05,2
115,32,3,52,2025-10-05,2
116,33,3,57,2025-10-05,2
117,34,3,59,2025-10-05,2
118,35,3,61,2025-10-05,2
119,36,3,61,2025-10-05,2
120,37,3,59,2025-10-05,2
121,38,3,7,2025-10-05,2
122,39,3,46,2025-10-05,2
123,638,3,52,2025-10-05,2
124,739,3,51,2025-10-05,2
125,844,3,52,2025-10-05,2
126,957,3,58,2025-10-05,2
127,958,3,44,2025-10-05,2
128,1012,3,55,2025-10-05,2
129,1018,3,58,2025-10-05,2
130,1,4,31,2025-09-09,1
131,2,4,5,2025-09-09,1
132,3,4,51,2025-09-09,1
133,4,4,46,2025-09-09,1
134,5,4,49,2025-09-09,1
135,7,4,48,2025-09-09,1
136,8,4,59,2025-09-09,1
137,9,4,44,2025-09-09,1
138,10,4,57,2025-09-09,1
139,11,4,46,2025-09-09,1
140,12,4,57,2025-09-09,1
141,13,4,61,2025-09-09,1
142,14,4,56,2025-09-09,1
143,15,4,56,2025-09-09,1
144,16,4,53,2025-09-09,1
145,17,4,58,2025-09-09,1
146,18,4,50,2025-09-09,1
147,19,4,52,2025-09-09,1
148,20,4,55,2025-09-09,1
149,21,4,55,2025-09-09,1
150,22,4,62,2025-09-09,1
151,23,4,62,2025-09-09,1
152,24,4,57,2025-09-09,1
153,26,4,58,2025-09-09,1
154,27,4,61,2025-09-09,1
