term_id,label,start_date,end_date,school_year_id
21,Q1,2016-08-26,2016-10-25,2
22,Q2,2016-10-28,2016-12-20,2
23,Q3,2017-01-06,2017-03-14,2
24,Q4,2017-03-17,2017-06-06,2
31,Q1,2017-08-26,2017-10-25,3
32,Q2,2017-10-28,2017-12-20,3
33,Q3,2018-01-06,2018-03-14,3
34,Q4,2018-03-17,2018-06-06,3
41,Q1,2018-08-26,2018-10-25,4
42,Q2,2018-10-28,2018-12-20,4
43,Q3,2019-01-06,2019-03-14,4
44,Q4,2019-03-17,2019-06-06,4
51,Q1,2019-08-26,2019-10-25,5
52,Q2,2019-10-28,2019-12-20,5
53,Q3,2020-01-06,2020-03-14,5
54,Q4,2020-03-17,2020-06-06,5
61,Q1,2020-08-26,2020-10-25,6
62,Q2,2020-10-28,2020-12-20,6
63,Q3,2021-01-06,2021-03-14,6
64,Q4,2021-03-17,2021-06-06,6
71,Q1,2021-08-26,2021-10-25,7
72,Q2,2021-10-28,2021-12-20,7
73,Q3,2022-01-06,2022-03-14,7
74,Q4,2022-03-17,2022-06-06,7
81,Q1,2022-08-26,2022-10-25,8
82,Q2,2022-10-28,2022-12-20,8
83,Q3,2023-01-06,2023-03-14,8
84,Q4,2023-03-17,2023-06-06,8
91,Q1,2023-08-26,2023-10-25,9
92,Q2,2023-10-28,2023-12-20,9
93,Q3,2024-01-06,2024-03-14,9
94,Q4,2024-03-17,2024-06-06,9
101,Q1,2024-08-26,2024-10-25,10
102,Q2,2024-10-28,2024-12-20,10
103,Q3,2025-01-06,2025-03-14,10
104,Q4,2025-03-17,2025-06-06,10
111,Q1,2025-08-26,2025-10-25,11
112,Q2,2025-10-28,2025-12-20,11
113,Q3,2026-01-06,2026-03-14,11
114,Q4,2026-03-17,2026-06-06,11
