assignment_id,class_id,title,due_date,points_possible,category,term_id
1,1,Project 1,2018-02-21,50,Project,3
2,1,Test 2,2018-04-08,60,Test,1
3,1,Test 3,2018-03-29,85,Test,2
4,1,Quiz 4,2017-09-10,35,Quiz,2
5,1,Test 5,2018-02-16,23,Test,4
6,1,Participation 6,2018-04-05,25,Participation,2
7,1,Homework 7,2018-05-06,63,Homework,2
8,1,Homework 8,2017-11-07,90,Homework,2
9,1,Participation 9,2017-12-28,27,Participation,3
10,1,Homework 10,2018-04-17,40,Homework,3
11,1,Homework 11,2018-02-26,34,Homework,3
12,1,Participation 12,2018-03-08,14,Participation,4
13,1,Homework 13,2017-10-23,60,Homework,4
14,1,Homework 14,2017-09-19,55,Homework,1
15,1,Test 15,2018-02-16,30,Test,3
16,1,Participation 16,2017-10-05,59,Participation,2
17,1,Homework 17,2018-01-06,72,Homework,1
18,1,Homework 18,2018-05-30,74,Homework,4
19,2,Homework 1,2017-09-27,34,Homework,2
20,2,Participation 2,2018-03-09,84,Participation,1
21,2,Homework 3,2018-05-03,24,Homework,1
22,2,Participation 4,2017-11-01,98,Participation,2
23,2,Project 5,2017-09-10,87,Project,3
24,2,Homework 6,2017-11-30,57,Homework,2
25,2,Project 7,2018-05-27,39,Project,3
26,2,Test 8,2018-02-12,87,Test,4
27,2,Test 9,2018-02-12,100,Test,2
28,2,Homework 10,2018-03-17,80,Homework,3
29,2,Participation 11,2018-03-17,33,Participation,3
30,2,Test 12,2018-04-19,52,Test,1
31,2,Quiz 13,2017-10-26,90,Quiz,1
32,2,Project 14,2018-01-14,40,Project,1
33,2,Project 15,2018-01-17,40,Project,2
34,2,Test 16,2017-12-13,86,Test,3
35,2,Project 17,2018-01-23,90,Project,3
36,2,Homework 18,2018-01-31,26,Homework,2
37,2,Test 19,2018-01-04,35,Test,4
38,2,Project 20,2018-05-16,92,Project,3
39,2,Participation 21,2018-04-15,28,Participation,2
40,2,Test 22,2017-09-15,21,Test,1
41,2,Test 23,2018-04-28,26,Test,1
