payment_id,guardian_id,fee_type_id,amount_paid,payment_date
PAY000001,1,4,8397,2018-08-15
PAY000002,1,4,8043,2018-09-15
PAY000003,1,4,8142,2018-10-15
PAY000004,1,4,8579,2018-11-15
PAY000005,1,4,7569,2018-12-15
PAY000006,1,4,7655,2019-01-15
PAY000007,1,4,8753,2019-02-15
PAY000008,1,4,8220,2019-03-15
PAY000009,1,4,7975,2019-04-15
PAY000010,1,1,103,2018-08-10
PAY000011,2,4,8711,2018-08-15
PAY000012,2,4,8642,2018-09-15
PAY000013,2,4,8246,2018-10-15
PAY000014,2,4,8029,2018-11-15
PAY000015,2,4,8799,2018-12-15
PAY000016,2,4,7845,2019-01-15
PAY000017,2,4,7567,2019-02-15
PAY000018,2,4,7546,2019-03-15
PAY000019,2,4,7546,2019-04-15
PAY000020,4,4,8618,2018-08-15
PAY000021,4,4,8442,2018-09-15
PAY000022,4,4,8657,2018-10-15
PAY000023,4,4,7546,2018-11-15
PAY000024,4,4,7518,2018-12-15
PAY000025,4,4,8603,2019-01-15
PAY000026,4,4,7794,2019-02-15
PAY000027,4,4,7222,2019-03-15
PAY000028,4,4,7336,2019-04-15
PAY000029,4,1,101,2018-08-12
PAY000030,6,4,8780,2018-08-15
PAY000031,6,4,8112,2018-09-15
PAY000032,6,4,8042,2018-10-15
PAY000033,6,4,7665,2018-11-15
PAY000034,6,4,8281,2018-12-15
PAY000035,6,4,7335,2019-01-15
PAY000036,6,4,7399,2019-02-15
PAY000037,6,4,8762,2019-03-15
PAY000038,6,4,7626,2019-04-15
PAY000039,6,1,115,2018-08-13
PAY000040,6,2,53,2018-08-11
PAY000041,8,4,7948,2018-08-15
PAY000042,8,4,7502,2018-09-15
PAY000043,8,4,8646,2018-10-15
PAY000044,8,4,7429,2018-11-15
PAY000045,8,4,8195,2018-12-15
PAY000046,8,4,7393,2019-01-15
PAY000047,8,4,8600,2019-02-15
PAY000048,8,4,8187,2019-03-15
PAY000049,8,4,8384,2019-04-15
PAY000050,8,4,8000,2019-05-15
PAY000051,8,4,8625,2019-06-15
PAY000052,8,4,8231,2019-07-15
PAY000053,8,1,106,2018-08-10
PAY000054,8,2,48,2018-08-24
PAY000055,9,4,8448,2018-08-15
PAY000056,9,4,7604,2018-09-15
PAY000057,9,4,8671,2018-10-15
PAY000058,9,4,7892,2018-11-15
PAY000059,9,4,7391,2018-12-15
PAY000060,9,4,8157,2019-01-15
PAY000061,9,4,8080,2019-02-15
PAY000062,9,4,7608,2019-03-15
PAY000063,9,4,8148,2019-04-15
PAY000064,9,2,52,2018-08-21
PAY000065,11,4,7295,2018-08-15
PAY000066,11,4,8366,2018-09-15
PAY000067,11,4,8012,2018-10-15
PAY000068,11,4,8589,2018-11-15
PAY000069,11,4,8388,2018-12-15
PAY000070,11,4,8337,2019-01-15
PAY000071,11,4,7546,2019-02-15
PAY000072,11,4,7420,2019-03-15
PAY000073,11,4,7600,2019-04-15
PAY000074,11,1,116,2018-08-27
PAY000075,11,2,47,2018-08-18
PAY000076,12,4,7850,2018-08-15
PAY000077,12,4,7594,2018-09-15
PAY000078,12,4,8332,2018-10-15
PAY000079,12,4,7872,2018-11-15
PAY000080,12,4,7750,2018-12-15
PAY000081,12,4,7433,2019-01-15
PAY000082,12,4,7462,2019-02-15
PAY000083,12,4,8170,2019-03-15
PAY000084,12,4,7877,2019-04-15
PAY000085,12,4,8110,2019-05-15
PAY000086,12,4,8568,2019-06-15
PAY000087,12,4,8791,2019-07-15
PAY000088,12,1,120,2018-08-22
PAY000089,12,2,48,2018-08-24
PAY000090,14,4,7226,2018-08-15
PAY000091,14,4,7620,2018-09-15
PAY000092,14,4,8169,2018-10-15
PAY000093,14,4,8441,2018-11-15
PAY000094,14,4,8065,2018-12-15
PAY000095,14,4,7887,2019-01-15
PAY000096,14,4,7316,2019-02-15
PAY000097,14,4,8166,2019-03-15
