grade_id,student_id,assignment_id,score,submitted_on,term_id
1,1,1,44,2020-01-23,2
2,2,1,39,2020-01-23,2
3,3,1,43,2020-01-23,2
4,4,1,41,2020-01-23,2
5,5,1,41,2020-01-23,2
6,7,1,41,2020-01-23,2
7,8,1,42,2020-01-23,2
8,9,1,41,2020-01-23,2
9,10,1,42,2020-01-23,2
10,11,1,41,2020-01-23,2
11,12,1,45,2020-01-23,2
12,13,1,38,2020-01-23,2
13,14,1,36,2020-01-23,2
14,15,1,38,2020-01-23,2
15,16,1,36,2020-01-23,2
16,17,1,38,2020-01-23,2
17,18,1,35,2020-01-23,2
18,19,1,41,2020-01-23,2
19,20,1,40,2020-01-23,2
20,21,1,42,2020-01-23,2
21,22,1,37,2020-01-23,2
22,23,1,46,2020-01-23,2
23,24,1,42,2020-01-23,2
24,25,1,35,2020-01-23,2
25,26,1,35,2020-01-23,2
26,27,1,38,2020-01-23,2
27,28,1,35,2020-01-23,2
28,29,1,11,2020-01-23,2
29,31,1,44,2020-01-23,2
30,32,1,41,2020-01-23,2
31,33,1,41,2020-01-23,2
32,34,1,37,2020-01-23,2
33,35,1,45,2020-01-23,2
34,36,1,18,2020-01-23,2
35,37,1,38,2020-01-23,2
36,38,1,38,2020-01-23,2
37,39,1,41,2020-01-23,2
38,638,1,40,2020-01-23,2
39,1,2,25,2020-05-07,3
40,2,2,25,2020-05-07,3
41,3,2,22,2020-05-07,3
42,4,2,24,2020-05-07,3
43,5,2,28,2020-05-07,3
44,7,2,26,2020-05-07,3
45,8,2,14,2020-05-07,3
46,9,2,22,2020-05-07,3
47,10,2,26,2020-05-07,3
48,11,2,28,2020-05-07,3
49,12,2,29,2020-05-07,3
50,13,2,22,2020-05-07,3
51,14,2,27,2020-05-07,3
52,15,2,28,2020-05-07,3
53,16,2,29,2020-05-07,3
54,17,2,26,2020-05-07,3
55,18,2,27,2020-05-07,3
56,19,2,22,2020-05-07,3
57,20,2,27,2020-05-07,3
58,21,2,25,2020-05-07,3
59,22,2,24,2020-05-07,3
60,23,2,30,2020-05-07,3
61,24,2,28,2020-05-07,3
62,25,2,22,2020-05-07,3
63,26,2,30,2020-05-07,3
64,27,2,27,2020-05-07,3
65,28,2,23,2020-05-07,3
66,29,2,26,2020-05-07,3
67,31,2,29,2020-05-07,3
68,32,2,28,2020-05-07,3
69,33,2,24,2020-05-07,3
70,34,2,26,2020-05-07,3
71,35,2,29,2020-05-07,3
72,36,2,28,2020-05-07,3
73,37,2,28,2020-05-07,3
74,38,2,26,2020-05-07,3
75,39,2,21,2020-05-07,3
76,638,2,27,2020-05-07,3
77,1,3,45,2020-04-15,2
78,2,3,54,2020-04-15,2
79,3,3,51,2020-04-15,2
80,4,3,40,2020-04-15,2
81,5,3,45,2020-04-15,2
82,7,3,55,2020-04-15,2
83,8,3,48,2020-04-15,2
84,9,3,49,2020-04-15,2
85,10,3,52,2020-04-15,2
86,11,3,48,2020-04-15,2
87,12,3,52,2020-04-15,2
88,13,3,44,2020-04-15,2
89,14,3,45,2020-04-15,2
90,15,3,57,2020-04-15,2
91,16,3,49,2020-04-15,2
92,17,3,57,2020-04-15,2
93,18,3,50,2020-04-15,2
94,19,3,46,2020-04-15,2
95,20,3,44,2020-04-15,2
96,21,3,55,2020-04-15,2
97,22,3,51,2020-04-15,2
98,23,3,47,2020-04-15,2
99,24,3,53,2020-04-15,2
100,25,3,55,2020-04-15,2
101,26,3,47,2020-04-15,2
102,27,3,1,2020-04-15,2
103,28,3,57,2020-04-15,2
104,29,3,50,2020-04-15,2
105,31,3,49,2020-04-15,2
106,32,3,57,2020-04-15,2
107,33,3,54,2020-04-15,2
108,34,3,29,2020-04-15,2
109,35,3,52,2020-04-15,2
110,36,3,57,2020-04-15,2
111,37,3,48,2020-04-15,2
112,38,3,50,2020-04-15,2
113,39,3,50,2020-04-15,2
114,638,3,53,2020-04-15,2
115,1,4,26,2020-04-17,4
116,2,4,29,2020-04-17,4
117,3,4,27,2020-04-17,4
118,4,4,29,2020-04-17,4
119,5,4,34,2020-04-17,4
120,7,4,33,2020-04-17,4
121,8,4,36,2020-04-17,4
122,9,4,31,2020-04-17,4
123,10,4,35,2020-04-17,4
124,11,4,32,2020-04-17,4
125,12,4,33,2020-04-17,4
126,13,4,30,2020-04-17,4
127,14,4,27,2020-04-17,4
128,15,4,36,2020-04-17,4
129,16,4,29,2020-04-17,4
130,17,4,28,2020-04-17,4
131,18,4,31,2020-04-17,4
132,19,4,30,2020-04-17,4
133,20,4,32,2020-04-17,4
134,21,4,29,2020-04-17,4
135,22,4,30,2020-04-17,4
136,23,4,28,2020-04-17,4
137,24,4,31,2020-04-17,4
138,25,4,28,2020-04-17,4
139,26,4,30,2020-04-17,4
140,27,4,30,2020-04-17,4
141,28,4,31,2020-04-17,4
142,29,4,29,2020-04-17,4
143,31,4,28,2020-04-17,4
144,32,4,29,2020-04-17,4
145,33,4,26,2020-04-17,4
146,34,4,30,2020-04-17,4
147,35,4,25,2020-04-17,4
148,36,4,29,2020-04-17,4
149,37,4,33,2020-04-17,4
150,38,4,33,2020-04-17,4
151,39,4,1,2020-04-17,4
152,638,4,32,2020-04-17,4
153,1,5,64,2019-12-28,4
154,2,5,74,2019-12-28,4
155,3,5,5,2019-12-28,4
156,4,5,59,2019-12-28,4
157,5,5,65,2019-12-28,4
158,7,5,64,2019-12-28,4
159,8,5,69,2019-12-28,4
160,9,5,65,2019-12-28,4
161,10,5,67,2019-12-28,4
162,11,5,65,2019-12-28,4
163,12,5,78,2019-12-28,4
164,13,5,67,2019-12-28,4
165,14,5,56,2019-12-28,4
166,15,5,77,2019-12-28,4
167,16,5,68,2019-12-28,4
168,17,5,79,2019-12-28,4
169,18,5,74,2019-12-28,4
170,19,5,59,2019-12-28,4
171,20,5,58,2019-12-28,4
172,21,5,75,2019-12-28,4
173,22,5,69,2019-12-28,4
174,23,5,56,2019-12-28,4
175,24,5,7,2019-12-28,4
176,25,5,6,2019-12-28,4
177,26,5,62,2019-12-28,4
178,27,5,61,2019-12-28,4
179,28,5,64,2019-12-28,4
180,29,5,77,2019-12-28,4
181,31,5,63,2019-12-28,4
182,32,5,78,2019-12-28,4
183,33,5,60,2019-12-28,4
184,34,5,61,2019-12-28,4
185,35,5,64,2019-12-28,4
186,36,5,6,2019-12-28,4
187,37,5,71,2019-12-28,4
188,38,5,70,2019-12-28,4
189,39,5,65,2019-12-28,4
190,638,5,68,2019-12-28,4
191,1,6,74,2020-03-08,2
192,2,6,62,2020-03-08,2
193,3,6,74,2020-03-08,2
194,4,6,73,2020-03-08,2
195,5,6,59,2020-03-08,2
196,7,6,76,2020-03-08,2
197,8,6,73,2020-03-08,2
198,9,6,74,2020-03-08,2
199,10,6,58,2020-03-08,2
200,11,6,79,2020-03-08,2
201,12,6,71,2020-03-08,2
202,13,6,74,2020-03-08,2
203,14,6,77,2020-03-08,2
204,15,6,71,2020-03-08,2
205,16,6,18,2020-03-08,2
206,17,6,77,2020-03-08,2
207,18,6,68,2020-03-08,2
208,19,6,63,2020-03-08,2
209,20,6,68,2020-03-08,2
210,21,6,72,2020-03-08,2
211,22,6,69,2020-03-08,2
212,23,6,80,2020-03-08,2
213,24,6,73,2020-03-08,2
214,25,6,57,2020-03-08,2
215,26,6,73,2020-03-08,2
216,27,6,80,2020-03-08,2
217,28,6,75,2020-03-08,2
218,29,6,80,2020-03-08,2
219,31,6,80,2020-03-08,2
220,32,6,56,2020-03-08,2
221,33,6,80,2020-03-08,2
222,34,6,74,2020-03-08,2
223,35,6,68,2020-03-08,2
224,36,6,76,2020-03-08,2
225,37,6,80,2020-03-08,2
226,38,6,74,2020-03-08,2
227,39,6,71,2020-03-08,2
228,638,6,23,2020-03-08,2
229,1,7,90,2020-01-22,4
230,2,7,88,2020-01-22,4
231,3,7,83,2020-01-22,4
232,4,7,88,2020-01-22,4
233,5,7,80,2020-01-22,4
234,7,7,78,2020-01-22,4
235,8,7,63,2020-01-22,4
236,9,7,70,2020-01-22,4
237,10,7,87,2020-01-22,4
238,11,7,84,2020-01-22,4
239,12,7,83,2020-01-22,4
240,13,7,75,2020-01-22,4
241,14,7,87,2020-01-22,4
242,15,7,78,2020-01-22,4
243,16,7,71,2020-01-22,4
244,17,7,85,2020-01-22,4
245,18,7,80,2020-01-22,4
246,19,7,10,2020-01-22,4
247,20,7,81,2020-01-22,4
248,21,7,80,2020-01-22,4
249,22,7,76,2020-01-22,4
250,23,7,86,2020-01-22,4
251,24,7,90,2020-01-22,4
252,25,7,80,2020-01-22,4
253,26,7,73,2020-01-22,4
254,27,7,76,2020-01-22,4
255,28,7,78,2020-01-22,4
256,29,7,74,2020-01-22,4
257,31,7,86,2020-01-22,4
258,32,7,83,2020-01-22,4
259,33,7,84,2020-01-22,4
260,34,7,81,2020-01-22,4
261,35,7,82,2020-01-22,4
262,36,7,70,2020-01-22,4
263,37,7,73,2020-01-22,4
