student_grade_history_id,student_id,school_year_id,gpa,grade_level_id
HIST000001,1,6,3.291,6
HIST000002,2,6,3.503,6
HIST000003,3,6,3.566,6
HIST000004,4,6,3.784,6
HIST000005,5,6,3.163,6
HIST000006,6,6,3.476,6
HIST000007,7,6,3.269,6
HIST000008,8,6,2.313,6
HIST000009,9,6,2.319,6
HIST000010,10,6,3.095,6
HIST000011,11,6,3.257,6
HIST000012,12,6,3.15,6
HIST000013,13,6,2.8,6
HIST000014,14,6,3.715,6
HIST000015,15,6,3.11,6
HIST000016,16,6,2.685,6
HIST000017,17,6,2.337,6
HIST000018,18,6,3.562,6
HIST000019,19,6,3.285,6
HIST000020,20,6,3.455,6
HIST000021,21,6,3.079,6
HIST000022,22,6,3.569,6
HIST000023,23,6,3.866,6
HIST000024,24,6,2.677,6
HIST000025,26,6,3.225,6
HIST000026,27,6,2.603,6
HIST000027,28,6,3.0,6
HIST000028,29,6,2.889,6
HIST000029,31,6,3.579,6
HIST000030,32,6,3.874,6
HIST000031,33,6,3.305,6
HIST000032,34,6,3.046,6
HIST000033,35,6,2.394,6
HIST000034,36,6,2.983,6
HIST000035,37,6,3.267,6
HIST000036,38,6,4.0,6
HIST000037,39,6,2.854,6
HIST000038,40,6,3.271,7
HIST000039,41,6,2.634,7
HIST000040,43,6,3.774,7
HIST000041,44,6,3.222,7
HIST000042,45,6,2.751,7
HIST000043,47,6,2.828,7
HIST000044,48,6,3.409,7
HIST000045,49,6,3.945,7
HIST000046,50,6,3.189,7
HIST000047,51,6,3.55,7
HIST000048,52,6,2.989,7
HIST000049,53,6,2.0,7
HIST000050,54,6,3.285,7
HIST000051,55,6,2.659,7
HIST000052,56,6,3.503,7
HIST000053,57,6,3.39,7
HIST000054,58,6,3.092,7
HIST000055,59,6,2.628,7
HIST000056,60,6,2.351,7
HIST000057,61,6,2.838,7
HIST000058,62,6,3.089,7
HIST000059,63,6,3.065,7
HIST000060,64,6,2.091,7
HIST000061,65,6,3.777,7
HIST000062,66,6,3.423,7
HIST000063,67,6,3.201,7
HIST000064,68,6,2.871,7
HIST000065,69,6,3.256,7
HIST000066,70,6,3.128,7
HIST000067,71,6,2.716,7
HIST000068,72,6,3.643,7
HIST000069,73,6,3.356,7
HIST000070,74,6,3.653,7
HIST000071,75,6,2.058,7
HIST000072,76,6,2.494,7
HIST000073,77,6,3.546,7
HIST000074,78,6,2.888,7
HIST000075,79,6,3.915,8
HIST000076,80,6,2.495,8
HIST000077,82,6,3.138,8
HIST000078,83,6,3.881,8
HIST000079,84,6,2.699,8
HIST000080,85,6,3.996,8
HIST000081,86,6,3.197,8
HIST000082,87,6,3.626,8
HIST000083,89,6,3.061,8
HIST000084,90,6,3.008,8
HIST000085,91,6,3.077,8
HIST000086,93,6,3.153,8
HIST000087,94,6,2.814,8
HIST000088,95,6,3.949,8
HIST000089,96,6,3.069,8
HIST000090,97,6,3.089,8
HIST000091,99,6,3.482,8
HIST000092,100,6,3.559,8
HIST000093,101,6,2.372,8
HIST000094,102,6,2.731,8
HIST000095,103,6,3.654,8
HIST000096,104,6,3.335,8
HIST000097,105,6,3.964,8
HIST000098,106,6,3.801,8
HIST000099,107,6,2.974,8
HIST000100,108,6,2.248,8
HIST000101,109,6,2.803,8
HIST000102,110,6,3.093,8
HIST000103,111,6,2.877,8
HIST000104,112,6,1.647,8
HIST000105,113,6,3.098,8
HIST000106,114,6,3.026,8
HIST000107,115,6,3.877,8
HIST000108,116,6,3.64,8
HIST000109,117,6,3.147,8
HIST000110,118,6,3.456,9
HIST000111,119,6,3.572,9
HIST000112,120,6,3.227,9
HIST000113,121,6,1.962,9
HIST000114,122,6,3.055,9
HIST000115,123,6,3.983,9
HIST000116,124,6,3.367,9
HIST000117,125,6,3.786,9
HIST000118,126,6,2.388,9
HIST000119,127,6,3.378,9
HIST000120,128,6,2.802,9
HIST000121,130,6,3.715,9
HIST000122,131,6,3.188,9
HIST000123,132,6,3.093,9
HIST000124,133,6,3.606,9
HIST000125,134,6,4.0,9
HIST000126,136,6,3.403,9
HIST000127,137,6,3.463,9
HIST000128,138,6,2.506,9
HIST000129,139,6,2.268,9
HIST000130,140,6,3.566,9
HIST000131,141,6,3.287,9
HIST000132,142,6,2.961,9
HIST000133,143,6,3.569,9
HIST000134,144,6,2.695,9
HIST000135,145,6,3.934,9
HIST000136,146,6,3.295,9
HIST000137,147,6,3.016,9
HIST000138,148,6,3.867,9
HIST000139,149,6,3.104,9
HIST000140,150,6,2.641,9
HIST000141,151,6,3.265,9
HIST000142,153,6,3.147,9
HIST000143,154,6,3.079,9
HIST000144,155,6,3.225,9
HIST000145,156,6,3.462,9
HIST000146,157,6,3.303,10
HIST000147,158,6,3.391,10
HIST000148,159,6,3.006,10
HIST000149,160,6,2.444,10
HIST000150,161,6,3.433,10
HIST000151,163,6,3.137,10
HIST000152,164,6,3.068,10
HIST000153,165,6,3.564,10
HIST000154,166,6,3.959,10
HIST000155,167,6,3.459,10
HIST000156,168,6,2.936,10
HIST000157,169,6,3.253,10
HIST000158,170,6,3.211,10
HIST000159,171,6,4.0,10
HIST000160,172,6,3.827,10
HIST000161,173,6,3.667,10
HIST000162,174,6,2.768,10
HIST000163,175,6,3.912,10
HIST000164,176,6,3.127,10
HIST000165,177,6,3.107,10
HIST000166,178,6,2.842,10
HIST000167,179,6,2.369,10
HIST000168,180,6,3.054,10
HIST000169,181,6,3.304,10
HIST000170,182,6,3.631,10
HIST000171,183,6,3.412,10
HIST000172,184,6,2.663,10
HIST000173,185,6,2.899,10
HIST000174,186,6,2.978,10
HIST000175,187,6,3.585,10
HIST000176,188,6,2.971,10
HIST000177,190,6,3.261,10
HIST000178,191,6,3.343,10
HIST000179,192,6,3.874,10
HIST000180,193,6,2.602,10
HIST000181,194,6,2.464,10
HIST000182,195,6,2.834,10
HIST000183,196,6,3.607,11
HIST000184,197,6,3.24,11
HIST000185,198,6,2.689,11
HIST000186,199,6,2.98,11
HIST000187,200,6,3.739,11
HIST000188,201,6,3.786,11
HIST000189,202,6,3.33,11
HIST000190,203,6,2.922,11
HIST000191,204,6,3.464,11
HIST000192,205,6,3.762,11
HIST000193,206,6,2.898,11
HIST000194,207,6,3.342,11
HIST000195,208,6,3.101,11
HIST000196,209,6,2.67,11
HIST000197,210,6,3.148,11
HIST000198,211,6,3.815,11
HIST000199,212,6,2.502,11
HIST000200,213,6,3.45,11
HIST000201,214,6,2.572,11
HIST000202,215,6,2.691,11
HIST000203,216,6,3.798,11
HIST000204,217,6,2.881,11
HIST000205,218,6,3.44,11
HIST000206,219,6,3.534,11
HIST000207,220,6,1.573,11
HIST000208,221,6,3.153,11
HIST000209,222,6,3.232,11
