teacher_id,subject_id,department_id
1,18,1
1,20,1
3,3,3
3,10,3
4,4,4
5,5,5
8,16,8
11,2,2
11,14,2
13,4,4
14,5,5
18,11,9
20,2,2
20,14,2
21,3,3
21,10,3
23,5,5
25,15,7
25,17,7
26,16,8
26,8,8
27,11,9
27,9,9
27,19,9
28,18,1
28,1,1
28,20,1
29,14,2
32,5,5
34,12,7
34,17,7
38,14,2
43,15,7
44,8,8
48,10,3
52,15,7
52,17,7
54,11,9
56,14,2
56,2,2
59,5,5
62,20,1
62,1,1
62,13,1
63,9,9
63,11,9
63,19,9
64,6,6
65,9,9
65,11,9
65,19,9
66,4,4
67,4,4
68,14,2
68,2,2
69,5,5
70,2,2
71,14,2
72,20,1
72,18,1
72,1,1
73,19,9
73,9,9
73,11,9
74,4,4
75,5,5
76,9,9
77,9,9
77,19,9
77,11,9
78,14,2
78,2,2
79,5,5
80,3,3
81,14,2
81,2,2
82,4,4
83,6,6
84,15,7
85,9,9
85,11,9
85,19,9
86,18,1
86,13,1
87,8,8
87,16,8
88,4,4
89,18,1
89,1,1
89,13,1
90,16,8
90,8,8
91,7,7
92,6,6
93,18,1
94,10,3
94,3,3
95,6,6
96,3,3
96,10,3
