class_id,title,due_date,points_possible
1,Homework: Homeroom Week 36,2015-09-05,10
1,Test: Homeroom Week 37,2015-09-10,100
1,Quiz: Homeroom Week 38,2015-09-17,20
1,Quiz: Homeroom Week 39,2015-09-22,20
1,Test: Homeroom Week 40,2015-09-30,100
1,Test: Homeroom Week 40,2015-09-29,100
1,Test: Homeroom Week 41,2015-10-09,100
1,Test: Homeroom Week 42,2015-10-13,100
1,Quiz: Homeroom Week 43,2015-10-21,20
1,Quiz: Homeroom Week 43,2015-10-21,20
1,Test: Homeroom Week 44,2015-10-31,100
1,Test: Homeroom Week 44,2015-10-31,100
1,Test: Homeroom Week 45,2015-11-07,100
1,Quiz: Homeroom Week 45,2015-11-04,20
1,Quiz: Homeroom Week 46,2015-11-10,20
1,Homework: Homeroom Week 47,2015-11-18,10
1,Homework: Homeroom Week 47,2015-11-20,10
1,Homework: Homeroom Week 48,2015-11-26,10
1,Homework: Homeroom Week 49,2015-12-01,10
1,Homework: Homeroom Week 49,2015-12-02,10
1,Test: Homeroom Week 50,2015-12-12,100
1,Homework: Homeroom Week 51,2015-12-16,10
1,Test: Homeroom Week 51,2015-12-17,100
1,Test: Homeroom Week 52,2015-12-23,100
1,Homework: Homeroom Week 53,2016-01-02,10
1,Homework: Homeroom Week 1,2016-01-08,10
1,Test: Homeroom Week 2,2016-01-13,100
1,Quiz: Homeroom Week 3,2016-01-21,20
1,Quiz: Homeroom Week 3,2016-01-22,20
1,Quiz: Homeroom Week 4,2016-01-26,20
1,Homework: Homeroom Week 4,2016-01-30,10
1,Test: Homeroom Week 5,2016-02-03,100
1,Test: Homeroom Week 6,2016-02-12,100
1,Quiz: Homeroom Week 6,2016-02-11,20
1,Test: Homeroom Week 7,2016-02-16,100
1,Homework: Homeroom Week 8,2016-02-27,10
1,Test: Homeroom Week 9,2016-03-05,100
1,Quiz: Homeroom Week 9,2016-03-03,20
1,Quiz: Homeroom Week 10,2016-03-10,20
1,Test: Homeroom Week 10,2016-03-10,100
1,Quiz: Homeroom Week 11,2016-03-16,20
1,Quiz: Homeroom Week 12,2016-03-26,20
1,Homework: Homeroom Week 13,2016-03-30,10
1,Test: Homeroom Week 13,2016-03-30,100
1,Test: Homeroom Week 14,2016-04-05,100
1,Quiz: Homeroom Week 14,2016-04-09,20
1,Quiz: Homeroom Week 15,2016-04-14,20
1,Homework: Homeroom Week 15,2016-04-16,10
1,Quiz: Homeroom Week 16,2016-04-22,20
1,Test: Homeroom Week 16,2016-04-21,100
1,Test: Homeroom Week 17,2016-04-29,100
1,Homework: Homeroom Week 17,2016-04-30,10
1,Quiz: Homeroom Week 18,2016-05-04,20
1,Quiz: Homeroom Week 19,2016-05-14,20
1,Homework: Homeroom Week 19,2016-05-13,10
1,Test: Homeroom Week 20,2016-05-18,100
1,Test: Homeroom Week 21,2016-05-26,100
1,Test: Homeroom Week 21,2016-05-27,100
1,Quiz: Homeroom Week 22,2016-06-01,20
1,Homework: Homeroom Week 22,2016-06-02,10
