attendance_id,date,status
A_bc0ecf,2015-08-24,Present
A_4a55e3,2015-08-25,Present
A_351496,2015-08-26,Present
A_b4dcbb,2015-08-27,Present
A_8e36e4,2015-08-28,Present
A_9d5328,2015-08-31,Present
A_f3b53d,2015-09-01,Present
A_f92a88,2015-09-02,Present
A_b439b6,2015-09-03,Present
A_e3b079,2015-09-04,Present
A_149b28,2015-09-08,Present
A_abeeaf,2015-09-09,Present
A_a74720,2015-09-10,Present
A_d7444f,2015-09-11,Present
A_3dbbc6,2015-09-14,Present
A_8afc32,2015-09-15,Present
A_c23a46,2015-09-16,Present
A_bdf7d1,2015-09-17,Present
A_c574cf,2015-09-18,Present
A_767533,2015-09-21,Present
A_2b6f33,2015-09-22,Present
A_2a9490,2015-09-23,Present
A_0c7d12,2015-09-24,Present
A_38a50f,2015-09-25,Present
A_412266,2015-09-28,Present
A_13b4c7,2015-09-29,Present
A_9845ee,2015-09-30,Present
A_2d50f2,2015-10-01,Present
A_fa777b,2015-10-02,Present
A_36113e,2015-10-05,Present
A_8d0617,2015-10-06,Present
A_1f0a16,2015-10-07,Tardy
A_8851ad,2015-10-08,Present
A_8422a2,2015-10-12,Present
A_23f5de,2015-10-13,Present
A_2b24ca,2015-10-14,Present
A_c84832,2015-10-15,Present
A_b1e3eb,2015-10-16,Present
A_5d5d4d,2015-10-19,Present
A_29f09f,2015-10-20,Present
A_75e13f,2015-10-21,Present
A_795606,2015-10-22,Present
A_fae85b,2015-10-23,Present
A_f07308,2015-10-26,Present
A_3fdcde,2015-10-27,Present
A_e9a8e6,2015-10-28,Present
A_77b920,2015-10-29,Present
A_e5faca,2015-10-30,Present
A_3decc0,2015-11-02,Present
A_925231,2015-11-03,Present
A_fb6a1e,2015-11-04,Present
A_e3eb7e,2015-11-05,Present
A_d52703,2015-11-06,Present
A_a5489a,2015-11-09,Present
A_aeb949,2015-11-10,Present
A_bf8b76,2015-11-11,Present
A_40f5a5,2015-11-12,Present
A_fbe96a,2015-11-13,Present
A_6bd5e9,2015-11-16,Present
A_ef1beb,2015-11-17,Present
A_71eb52,2015-11-18,Present
A_c8312a,2015-11-19,Present
A_93226f,2015-11-20,Present
A_140295,2015-11-23,Present
A_f294b8,2015-11-24,Present
A_3fe7b0,2015-11-25,Present
A_423e4b,2015-11-30,Present
A_561ace,2015-12-01,Present
A_8b091c,2015-12-02,Present
A_0727a2,2015-12-03,Present
A_dd648a,2015-12-04,Present
A_cd7350,2015-12-07,Present
A_deaa6c,2015-12-08,Present
A_28d965,2015-12-09,Present
A_2e2ce5,2015-12-10,Present
A_e201f7,2015-12-11,Present
A_f892b1,2015-12-14,Present
A_386fb2,2015-12-15,Present
A_fb211d,2015-12-16,Present
A_726475,2015-12-17,Present
A_cae325,2015-12-18,Present
A_53377c,2016-01-05,Present
A_ba8290,2016-01-06,Present
A_fc51a8,2016-01-07,Present
A_89cee4,2016-01-08,Present
A_ab3b00,2016-01-11,Tardy
A_119358,2016-01-12,Present
A_2c6084,2016-01-13,Present
A_6f0169,2016-01-14,Present
A_33da5d,2016-01-15,Present
A_69c1ca,2016-01-19,Present
A_3f506c,2016-01-20,Present
A_38353c,2016-01-21,Present
A_ed07fb,2016-01-22,Present
A_cdd7a4,2016-01-25,Tardy
A_8bb541,2016-01-26,Present
A_49d4b7,2016-01-27,Present
A_6e12db,2016-01-28,Present
A_ae8df2,2016-01-29,Present
A_8c8f1d,2016-02-01,Present
A_de47d2,2016-02-02,Present
A_7bca1b,2016-02-03,Present
A_b576fd,2016-02-04,Present
A_402a47,2016-02-05,Present
A_487c53,2016-02-08,Present
A_e18efb,2016-02-09,Present
A_95dccb,2016-02-10,Present
A_d269b2,2016-02-11,Present
A_9b073e,2016-02-12,Present
A_8c102a,2016-02-16,Present
A_7ca51b,2016-02-17,Present
A_20f978,2016-02-18,Present
A_a71c44,2016-02-19,Present
A_cc09c8,2016-02-22,Present
A_5b8378,2016-02-23,Present
A_c16e63,2016-02-24,Present
A_83f6ed,2016-02-25,Present
A_75af92,2016-02-26,Present
A_3c8d7e,2016-02-29,Present
A_055264,2016-03-01,Present
A_8c6d74,2016-03-02,Present
A_b03e64,2016-03-03,Present
A_4ffd87,2016-03-04,Present
A_a35b2a,2016-03-07,Present
A_4ba2d5,2016-03-08,Present
A_076bff,2016-03-09,Present
A_a39880,2016-03-10,Present
A_50dde2,2016-03-11,Present
A_2dc381,2016-03-14,Present
A_3f2654,2016-03-15,Present
A_7e502e,2016-03-16,Present
A_495779,2016-03-17,Present
A_4d6079,2016-03-18,Present
A_f42846,2016-03-21,Present
A_30119e,2016-03-22,Present
A_e9dc9d,2016-03-23,Present
A_70a078,2016-03-24,Present
A_b250e6,2016-03-25,Present
A_d3f2b2,2016-04-04,Present
A_8f6695,2016-04-05,Present
A_b1ba6d,2016-04-06,Present
A_6694bd,2016-04-07,Present
A_cb2d11,2016-04-08,Present
A_0682b7,2016-04-11,Present
A_c73c78,2016-04-12,Present
A_250c06,2016-04-13,Present
A_4bfce9,2016-04-14,Present
A_a98c0c,2016-04-15,Present
A_01c939,2016-04-18,Present
A_12b0b9,2016-04-19,Present
A_198b0d,2016-04-20,Present
A_b2fe43,2016-04-21,Present
A_91d13a,2016-04-22,Present
A_9eeb72,2016-04-25,Present
A_616911,2016-04-26,Present
A_e28343,2016-04-27,Present
A_dd959f,2016-04-28,Present
A_ae9c00,2016-04-29,Present
A_50b4f0,2016-05-02,Present
A_f092bb,2016-05-03,Present
A_a1ebcb,2016-05-04,Present
A_c1d612,2016-05-05,Present
A_2676a0,2016-05-06,Present
A_1e3ca5,2016-05-09,Present
A_70ec54,2016-05-10,Present
A_d1b362,2016-05-11,Present
A_4dc359,2016-05-12,Present
A_bf35a4,2016-05-13,Present
A_a6271a,2016-05-16,Present
A_989c90,2016-05-17,Present
A_361ace,2016-05-18,Present
A_0df0d8,2016-05-19,Tardy
A_72f272,2016-05-20,Present
A_5609e0,2016-05-23,Present
A_992eb3,2016-05-24,Present
A_193fce,2016-05-25,Present
A_e2abdc,2016-05-26,Present
A_7cb6fe,2016-05-27,Present
A_7a64ae,2016-05-31,Present
A_c00f8b,2016-06-01,Present
A_a6a3a2,2016-06-02,Present
A_b977c3,2016-06-03,Present
A_d013f3,2016-06-06,Present
A_557c04,2016-06-07,Present
A_d53090,2016-06-08,Present
A_0a1236,2016-06-09,Present
A_e8f866,2015-08-24,Present
A_222722,2015-08-25,Present
A_223748,2015-08-26,Present
A_aef4a4,2015-08-27,Present
A_e281c6,2015-08-28,Present
A_882e16,2015-08-31,Present
A_b2e19b,2015-09-01,Present
A_cd6eb4,2015-09-02,Present
A_0ddb37,2015-09-03,Present
A_1e3fff,2015-09-04,Present
A_239547,2015-09-08,Absent
A_323ec9,2015-09-09,Present
